"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.342576458E0,6.614744568E-1,2.990481262E0,7.551047516E0
1.352534458E0,5.340893555E-1,3.109633484E0,6.230044556E0
1.362492458E0,3.028202820E-1,3.129392395E0,4.287983093E0
1.372450458E0,3.385958862E-1,3.143612823E0,4.268972626E0
1.382408458E0,3.263214111E-1,2.735561371E0,5.510939941E0
1.392366458E0,2.927911377E-1,1.968406677E0,6.097420349E0
1.402324458E0,2.939886475E-1,1.439855804E0,7.139702911E0
1.412282458E0,8.292755127E-2,1.217418365E0,8.788673859E0
1.422240458E0,2.365081787E-2,1.127156067E0,9.829309845E0
1.432198458E0,-2.020797729E-1,1.148860931E0,1.043075912E1
1.442156458E0,-4.418811035E-1,1.137185211E0,1.012838791E1
1.452114458E0,-2.610571289E-1,1.584305420E0,8.834179230E0
1.462072458E0,-1.212478638E-1,2.436034241E0,7.636968842E0
1.472030458E0,-1.866618347E-1,3.154540100E0,7.078779602E0
1.481988458E0,-2.969824219E-1,3.627406769E0,7.099736023E0
1.491946458E0,-7.158114624E-1,3.744313660E0,8.051307220E0
1.501904458E0,-1.631457367E0,3.450325012E0,8.276588745E0
1.511862458E0,-2.479294281E0,3.138822784E0,7.606582031E0
1.521820458E0,-2.521656189E0,3.088227997E0,7.380851440E0
1.531778458E0,-2.108515320E0,3.314108276E0,8.400531006E0
1.541736458E0,-1.438209229E0,3.813020782E0,9.595645752E0
1.551694458E0,-1.069675598E0,4.346361694E0,1.085692291E1
1.561652458E0,-1.346150665E0,4.624932404E0,1.142274628E1
1.571610458E0,-1.721569977E0,4.638853455E0,1.173320068E1
1.581568458E0,-1.960772552E0,4.449347534E0,1.237416779E1
1.591526458E0,-2.041903839E0,4.275259552E0,1.311692322E1
1.601484458E0,-2.120939484E0,4.063599701E0,1.375474686E1
1.611441458E0,-2.262694702E0,4.046984253E0,1.410741348E1
1.621399458E0,-2.318678284E0,4.351301422E0,1.390338776E1
1.631357458E0,-2.136656799E0,4.720583496E0,1.330119003E1
1.641315458E0,-1.707798615E0,5.015021210E0,1.317155960E1
1.651273458E0,-1.359023895E0,5.127287750E0,1.333756439E1
1.661231458E0,-1.106798401E0,4.928501129E0,1.335627548E1
1.671189458E0,-8.587641907E-1,4.588707733E0,1.339384735E1
1.681147458E0,-5.200186157E-1,4.267924805E0,1.302636154E1
1.691105458E0,5.433700562E-2,3.842958527E0,1.205203766E1
1.701063458E0,3.791615295E-1,3.640729065E0,1.099658249E1
1.711021458E0,5.306465149E-1,3.782933350E0,1.036339920E1
1.720979458E0,7.926017761E-1,3.795956268E0,8.882678375E0
1.730937458E0,1.178948364E0,3.832330627E0,7.269782410E0
1.740895458E0,1.547631683E0,3.767964478E0,5.893394623E0
1.750853458E0,1.634301453E0,3.498973846E0,5.107678528E0
1.760811458E0,1.567240906E0,2.726729736E0,5.433999939E0
1.770769458E0,1.670077057E0,2.219883728E0,5.856122131E0
1.780727458E0,1.711690521E0,2.250270538E0,4.996609497E0
1.790685458E0,1.612147522E0,1.825004883E0,4.264481964E0
