"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.684882458E0,5.186882019E-1,-3.005655408E-1,6.587457061E-1
1.694840458E0,6.200342774E-1,-3.294424415E-1,6.882253289E-1
1.704798458E0,7.059733272E-1,-2.686454356E-1,6.899136305E-1
1.714756458E0,7.248905301E-1,-1.952713430E-1,6.653813720E-1
1.724714458E0,6.602229476E-1,-1.384146959E-1,6.075189710E-1
1.734672458E0,5.142859817E-1,-8.669529855E-2,5.362107158E-1
1.744630458E0,3.299808204E-1,-4.876824096E-2,4.423651695E-1
1.754588458E0,1.855290979E-1,1.050668657E-1,3.977234066E-1
1.764546458E0,1.207357496E-1,3.240355253E-1,3.833670020E-1
1.774504458E0,1.934464425E-1,3.848839700E-1,3.518889844E-1
1.784462458E0,2.716964185E-1,3.313806951E-1,3.321505487E-1
1.794420458E0,2.793423533E-1,3.000693619E-1,3.319556117E-1
1.804378458E0,2.575160861E-1,2.996002436E-1,2.971850038E-1
1.814336458E0,2.998158634E-1,4.289206862E-1,2.165343761E-1
1.824294458E0,3.516735137E-1,6.352537274E-1,1.030107960E-1
1.834252458E0,3.705534637E-1,7.152177691E-1,-3.832688928E-2
1.844210458E0,4.048443437E-1,6.839692593E-1,-1.492437720E-1
1.854168458E0,4.752415419E-1,5.945259333E-1,-1.968621612E-1
1.864126458E0,5.845951438E-1,4.968174696E-1,-2.399129570E-1
1.874084458E0,7.039633393E-1,3.728177547E-1,-2.641732991E-1
1.884042458E0,7.840043306E-1,1.960996687E-1,-2.907315791E-1
1.894000458E0,8.044020534E-1,2.239898220E-2,-3.782366812E-1
1.903958458E0,7.796964049E-1,-7.317969203E-2,-4.931095839E-1
1.913916458E0,6.716886759E-1,-5.926654488E-2,-5.875484943E-1
1.923874458E0,4.956191480E-1,4.705289006E-2,-6.296799779E-1
1.933833333E0,2.881791294E-1,1.661252230E-1,-6.319881082E-1
1.943791333E0,7.922777534E-2,2.784885168E-1,-6.046395898E-1
