"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.675891500E1,2.884856224E1,-3.530672073E1,-1.136122131E1
2.676887200E1,2.863670921E1,-3.527659225E1,-1.117649841E1
2.677883000E1,2.855997276E1,-3.551784134E1,-1.087881470E1
2.678878800E1,2.845567131E1,-3.568401718E1,-1.071693420E1
2.679874600E1,2.849677849E1,-3.564390564E1,-1.068139648E1
2.680870400E1,2.868095970E1,-3.573300552E1,-1.078332520E1
2.681866200E1,2.875802803E1,-3.550036240E1,-1.058631897E1
2.682862000E1,2.895131111E1,-3.550119781E1,-1.036491394E1
2.683857700E1,2.936808968E1,-3.509207535E1,-1.009945679E1
2.684853500E1,2.983073616E1,-3.493502808E1,-9.785018921E0
2.685849300E1,3.033250618E1,-3.463271332E1,-9.537734985E0
2.686845100E1,3.084124184E1,-3.408532715E1,-9.520996094E0
2.687840900E1,3.159739113E1,-3.354582977E1,-9.795639038E0
2.688836700E1,3.202200317E1,-3.284330750E1,-1.053471375E1
2.689832500E1,3.249422455E1,-3.220605469E1,-1.149876404E1
2.690828200E1,3.289852905E1,-3.129499817E1,-1.273225403E1
2.691824000E1,3.339586639E1,-3.035329056E1,-1.369755554E1
2.692819800E1,3.387243652E1,-2.961567497E1,-1.470668030E1
2.693815600E1,3.409282684E1,-2.882932281E1,-1.592076111E1
2.694811400E1,3.408137512E1,-2.822162628E1,-1.663919067E1
2.695807196E1,3.414124298E1,-2.763605690E1,-1.730966187E1
2.696802996E1,3.414469147E1,-2.729151154E1,-1.791007996E1
2.697798796E1,3.411952209E1,-2.703238487E1,-1.799507141E1
2.698794496E1,3.406208038E1,-2.683349419E1,-1.843179321E1
2.699790296E1,3.411901855E1,-2.681115341E1,-1.855918884E1
2.700786096E1,3.422078705E1,-2.664989662E1,-1.863717651E1
2.701781896E1,3.418332672E1,-2.663071251E1,-1.863764954E1
2.702777696E1,3.416008759E1,-2.671827888E1,-1.870739746E1
2.703773496E1,3.409049988E1,-2.670383835E1,-1.907008362E1
2.704769296E1,3.412030792E1,-2.663380623E1,-1.905337524E1
2.705764996E1,3.401260376E1,-2.661692047E1,-1.922941589E1
2.706760796E1,3.390345764E1,-2.651604271E1,-1.931637573E1
2.707756596E1,3.399477386E1,-2.673453522E1,-1.923910522E1
2.708752396E1,3.395490265E1,-2.682512474E1,-1.930262756E1
2.709748196E1,3.405030060E1,-2.713363075E1,-1.930235291E1
2.710743996E1,3.394698334E1,-2.724765587E1,-1.887211609E1
2.711739796E1,3.387313843E1,-2.739750862E1,-1.841886902E1
2.712735596E1,3.390946198E1,-2.771274185E1,-1.819120789E1
2.713731296E1,3.364105988E1,-2.806958580E1,-1.764955139E1
2.714727096E1,3.365597534E1,-2.845803070E1,-1.689198303E1
2.715722896E1,3.347949219E1,-2.904033089E1,-1.636708069E1
2.716718696E1,3.320891571E1,-2.967058945E1,-1.559602356E1
2.717714496E1,3.291215515E1,-3.029743576E1,-1.462884521E1
2.718710296E1,3.241423035E1,-3.113964462E1,-1.387765503E1
2.719706096E1,3.181288719E1,-3.200207901E1,-1.309120178E1
2.720701796E1,3.116029930E1,-3.300751877E1,-1.246133423E1
2.721697596E1,3.032353783E1,-3.401440430E1,-1.154713440E1
2.722693396E1,2.936350060E1,-3.482251740E1,-1.101947021E1
2.723689196E1,2.857434273E1,-3.581995392E1,-1.075968933E1
2.724684996E1,2.775866127E1,-3.655857086E1,-1.032463074E1
2.725680796E1,2.670982170E1,-3.712313080E1,-1.010733032E1
2.726676596E1,2.575822830E1,-3.761376572E1,-9.941818237E0
2.727672296E1,2.515202332E1,-3.807752609E1,-9.681365967E0
2.728668096E1,2.472783661E1,-3.824512482E1,-9.803588867E0
2.729663896E1,2.455599976E1,-3.845870590E1,-1.007005310E1
2.730659696E1,2.466062546E1,-3.843804550E1,-1.029444885E1
2.731655496E1,2.477334213E1,-3.811687088E1,-1.059466553E1
2.732651296E1,2.506145859E1,-3.799772263E1,-1.075596619E1
2.733647096E1,2.525667953E1,-3.770105362E1,-1.119152832E1
2.734642796E1,2.554541779E1,-3.739762115E1,-1.131983948E1
2.735638596E1,2.574713898E1,-3.730283356E1,-1.151629639E1
2.736634396E1,2.585898590E1,-3.723469162E1,-1.140985107E1
2.737630196E1,2.599077606E1,-3.725425720E1,-1.137619019E1
2.738625996E1,2.588953400E1,-3.749407196E1,-1.151409912E1
2.739621796E1,2.576429749E1,-3.763375092E1,-1.130903625E1
2.740617596E1,2.563084793E1,-3.778682327E1,-1.091656494E1
2.741613296E1,2.522667694E1,-3.800239182E1,-1.080464172E1
2.742609096E1,2.516226578E1,-3.815782928E1,-1.036326599E1
2.743604896E1,2.479203415E1,-3.838320923E1,-1.014608765E1
2.744600696E1,2.466526794E1,-3.838501358E1,-9.961868286E0
2.745596496E1,2.445066833E1,-3.849836349E1,-1.043135071E1
2.746592296E1,2.435385132E1,-3.837084961E1,-1.065739441E1
2.747588096E1,2.450164032E1,-3.829779053E1,-1.101251221E1
2.748583796E1,2.460823822E1,-3.806183243E1,-1.139259338E1
2.749579596E1,2.513291931E1,-3.778318024E1,-1.161518860E1
2.750575396E1,2.563035965E1,-3.751740646E1,-1.174937439E1
2.751571196E1,2.632794189E1,-3.693932343E1,-1.180035400E1
2.752566996E1,2.698426437E1,-3.631965256E1,-1.174234009E1
2.753562796E1,2.784027481E1,-3.580514526E1,-1.187072754E1
2.754558596E1,2.853571701E1,-3.522330475E1,-1.212814331E1
2.755554396E1,2.939239120E1,-3.463021469E1,-1.230903625E1
2.756550096E1,3.022041321E1,-3.371475220E1,-1.279713440E1
2.757545896E1,3.081423950E1,-3.281698990E1,-1.361793518E1
2.758541696E1,3.124358368E1,-3.212261200E1,-1.463520813E1
2.759537496E1,3.157185364E1,-3.129294777E1,-1.536257935E1
2.760533296E1,3.166857910E1,-3.061049461E1,-1.649685669E1
2.761529096E1,3.205705643E1,-3.013829994E1,-1.744541931E1
2.762524896E1,3.202341843E1,-2.934327126E1,-1.837358093E1
2.763520596E1,3.209060669E1,-2.869690895E1,-1.927287292E1
2.764516396E1,3.205142593E1,-2.826936722E1,-1.976574707E1
2.765512196E1,3.229794693E1,-2.793441963E1,-2.009173584E1
2.766507996E1,3.269879913E1,-2.746590614E1,-2.022785950E1
