"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.088870192E1,2.259049310E1,1.139619140E2,1.954035833E1,2.274895986E0,1.794766931E2,1.423200448E1,1.423200448E1
6.188870144E1,2.259048372E1,1.139619088E2,1.944710475E1,1.630886951E0,1.869452847E2,1.422972044E1,1.422972044E1
6.288870108E1,2.259046002E1,1.139618984E2,1.932293851E1,2.219362112E0,1.914210093E2,1.423429553E1,1.423429553E1
6.388870084E1,2.259044869E1,1.139619043E2,1.884656919E1,1.641006245E0,1.844789968E2,1.422818907E1,1.422818907E1
6.488870120E1,2.259042105E1,1.139619139E2,1.863539222E1,2.383852527E0,1.790022321E2,1.422863855E1,1.422863855E1
6.588870108E1,2.259041162E1,1.139619102E2,1.831132762E1,1.685818078E0,1.847466263E2,1.422616823E1,1.422616823E1
6.688870108E1,2.259038751E1,1.139619167E2,1.764511688E1,2.244093557E0,1.784018577E2,1.422639381E1,1.422639381E1
6.788870132E1,2.259037833E1,1.139619093E2,1.654955248E1,1.594014562E0,1.867131266E2,1.422664617E1,1.422664617E1
6.888870025E1,2.259035374E1,1.139619075E2,1.648725352E1,2.222436259E0,1.876347650E2,1.422849513E1,1.422849513E1
6.988870287E1,2.259033164E1,1.139619087E2,1.603736085E1,2.351753033E0,1.859809960E2,1.422813838E1,1.422813838E1
7.088870013E1,2.259031175E1,1.139619110E2,1.563968741E1,2.318390096E0,1.798825315E2,1.422744628E1,1.422744628E1
7.188870025E1,2.259029022E1,1.139619144E2,1.536932404E1,2.359597602E0,1.778043342E2,1.422404927E1,1.422404927E1
7.288870084E1,2.259027192E1,1.139619206E2,1.512666166E1,2.279858491E0,1.743114342E2,1.422264368E1,1.422264368E1
7.388870096E1,2.259025893E1,1.139619202E2,1.550741791E1,1.541329933E0,1.771829916E2,1.421912073E1,1.421912073E1
7.488870060E1,2.259024625E1,1.139619178E2,1.555343353E1,1.511992906E0,1.831500849E2,1.422406170E1,1.422406170E1
7.588870072E1,2.259022215E1,1.139619243E2,1.548784120E1,1.873887025E0,1.831595174E2,1.421946404E1,1.421946404E1
7.688870132E1,2.259020432E1,1.139619268E2,1.511228787E1,1.841661245E0,1.847105782E2,1.421941929E1,1.421941929E1
7.788870227E1,2.259018082E1,1.139619269E2,1.473237757E1,2.053070226E0,1.883177075E2,1.421829665E1,1.421829665E1
7.888870168E1,2.259016433E1,1.139619305E2,1.521671948E1,1.902930253E0,1.886858140E2,1.421664796E1,1.421664796E1
7.988870227E1,2.259014432E1,1.139619277E2,1.511009338E1,1.979244226E0,1.907973363E2,1.421844110E1,1.421844110E1
8.088870239E1,2.259012767E1,1.139619242E2,1.579102168E1,1.837259208E0,1.942972089E2,1.422053673E1,1.422053673E1
8.188870227E1,2.259010320E1,1.139619272E2,1.569056463E1,2.019032363E0,1.858482898E2,1.422410985E1,1.422410985E1
8.288870311E1,2.259007842E1,1.139619280E2,1.580790032E1,2.252357059E0,1.805440672E2,1.423459219E1,1.423459219E1
8.388870299E1,2.259002843E1,1.139619532E2,1.600996308E1,3.192644965E0,1.690813086E2,1.423777029E1,1.423777029E1
8.488870370E1,2.259002308E1,1.139619631E2,1.746038244E1,1.622602930E0,1.611178907E2,1.422291228E1,1.422291228E1
8.588870406E1,2.258999761E1,1.139619704E2,1.792681533E1,2.215516850E0,1.577879337E2,1.421838064E1,1.421838064E1
8.688870466E1,2.258998199E1,1.139619693E2,1.833675394E1,1.573681389E0,1.690458214E2,1.421692228E1,1.421692228E1
8.788870442E1,2.258995524E1,1.139619836E2,1.795554170E1,2.232209001E0,1.638139213E2,1.421471548E1,1.421471548E1
8.888870537E1,2.258994125E1,1.139619848E2,1.825995120E1,1.622326175E0,1.694972092E2,1.421242825E1,1.421242825E1
8.988870502E1,2.258992000E1,1.139619920E2,1.852625090E1,2.141119393E0,1.653671920E2,1.421335159E1,1.421335159E1
9.088870549E1,2.258990852E1,1.139620024E2,1.784394592E1,1.679249736E0,1.536938490E2,1.421382871E1,1.421382871E1
9.188870633E1,2.258988646E1,1.139620147E2,1.859737435E1,1.826874341E0,1.548851472E2,1.421421517E1,1.421421517E1
9.288870633E1,2.258987304E1,1.139620279E2,1.891519951E1,1.791808469E0,1.465749283E2,1.421304431E1,1.421304431E1
9.388870728E1,2.258985363E1,1.139620439E2,1.940136227E1,2.264058864E0,1.456090876E2,1.421248610E1,1.421248610E1
9.488870764E1,2.258984817E1,1.139620491E2,1.919690407E1,1.508027306E0,1.428202194E2,1.421220397E1,1.421220397E1
9.588870800E1,2.258983089E1,1.139620697E2,1.931629430E1,2.192818372E0,1.385527292E2,1.421365565E1,1.421365565E1
9.688870835E1,2.258982510E1,1.139620786E2,1.972769730E1,1.477249703E0,1.374144686E2,1.421339138E1,1.421339138E1
9.788870859E1,2.258980018E1,1.139621008E2,1.971001120E1,2.600378741E0,1.395897099E2,1.421451111E1,1.421451111E1
9.888870966E1,2.258979908E1,1.139621068E2,1.992156375E1,1.471937515E0,1.338836458E2,1.421401191E1,1.421401191E1
9.988870990E1,2.258978091E1,1.139621246E2,1.982664153E1,2.044760777E0,1.385829740E2,1.421418899E1,1.421418899E1
1.008887105E2,2.258977691E1,1.139621424E2,2.018062999E1,1.524141261E0,1.279565166E2,1.421261357E1,1.421261357E1
1.018887112E2,2.258976799E1,1.139621669E2,2.044525512E1,2.021957595E0,1.230451701E2,1.421354008E1,1.421354008E1
1.028887116E2,2.258976143E1,1.139621784E2,2.088704871E1,1.458984775E0,1.282830131E2,1.421289515E1,1.421289515E1
1.038887112E2,2.258975135E1,1.139622031E2,2.114983354E1,2.096144222E0,1.235297042E2,1.421320748E1,1.421320748E1
1.048887122E2,2.258974740E1,1.139622230E2,2.163734002E1,1.527706992E0,1.196556605E2,1.421244875E1,1.421244875E1
1.058887128E2,2.258973895E1,1.139622471E2,2.169560649E1,1.971155319E0,1.184682322E2,1.421378830E1,1.421378830E1
1.068887126E2,2.258973634E1,1.139622649E2,2.181350053E1,1.485758978E0,1.146403127E2,1.421314128E1,1.421314128E1
1.078887134E2,2.258973364E1,1.139622892E2,2.184004921E1,1.838791339E0,1.085267589E2,1.421232882E1,1.421232882E1
1.088887136E2,2.258972978E1,1.139623159E2,2.241644770E1,1.697342095E0,1.067636294E2,1.421386618E1,1.421386618E1
1.098887144E2,2.258973165E1,1.139623393E2,2.348161011E1,1.596179492E0,1.025825390E2,1.421524762E1,1.421524762E1
1.108887147E2,2.258973411E1,1.139623737E2,2.399578967E1,2.384096240E0,9.775629476E1,1.421784322E1,1.421784322E1
1.118887160E2,2.258973563E1,1.139623884E2,2.393210494E1,1.570650270E0,9.434811193E1,1.421595329E1,1.421595329E1
1.128887151E2,2.258973724E1,1.139624212E2,2.454287829E1,2.328222860E0,9.327603399E1,1.421835885E1,1.421835885E1
1.138887157E2,2.258974096E1,1.139624346E2,2.506132112E1,1.520389110E0,9.331560772E1,1.421759958E1,1.421759958E1
1.148887175E2,2.258974632E1,1.139624625E2,2.503649822E1,2.101401215E0,8.716018019E1,1.421874266E1,1.421874266E1
1.158887181E2,2.258974899E1,1.139624771E2,2.499725701E1,1.483819755E0,8.799901658E1,1.421750393E1,1.421750393E1
1.168887173E2,2.258975931E1,1.139625120E2,2.515434439E1,2.669727227E0,8.086662223E1,1.422115459E1,1.422115459E1
