"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.967361569E1,2.258760640E1,1.139659505E2,2.943563174E1,1.349764967E0,2.648849167E2,1.421562329E1,1.421562329E1
6.067364633E1,2.258761015E1,1.139659347E2,2.910494811E1,1.385133924E0,2.767151293E2,1.421730799E1,1.421730799E1
6.167367625E1,2.258761114E1,1.139659162E2,2.847737152E1,1.443351695E0,2.676859144E2,1.421761116E1,1.421761116E1
6.267370641E1,2.258762093E1,1.139659063E2,2.825843219E1,1.058980242E0,2.890950815E2,1.421915905E1,1.421915905E1
6.367373741E1,2.258762238E1,1.139658899E2,2.757883642E1,1.053773540E0,2.689439389E2,1.422054280E1,1.422054280E1
6.467376804E1,2.258762514E1,1.139658747E2,2.737671206E1,1.060950802E0,2.640746088E2,1.422044650E1,1.422044650E1
6.567379832E1,2.258762735E1,1.139658557E2,2.731628578E1,1.337930706E0,2.735798165E2,1.422048494E1,1.422048494E1
6.667382765E1,2.258763175E1,1.139658391E2,2.706229275E1,1.433233936E0,2.734450606E2,1.421890889E1,1.421890889E1
6.767385781E1,2.258763373E1,1.139658248E2,2.616890541E1,1.307917060E0,2.739274602E2,1.422295388E1,1.422295388E1
6.867388833E1,2.258763656E1,1.139658128E2,2.606107417E1,1.199580451E0,2.717993829E2,1.422071455E1,1.422071455E1
6.967391801E1,2.258763722E1,1.139657937E2,2.587481312E1,1.501937468E0,2.693100594E2,1.422034855E1,1.422034855E1
7.067394733E1,2.258763660E1,1.139657817E2,2.536211662E1,1.520367986E0,2.685969381E2,1.422122230E1,1.422122230E1
7.167397749E1,2.258763624E1,1.139657655E2,2.482730991E1,1.521620635E0,2.627735983E2,1.421813723E1,1.421813723E1
7.267400706E1,2.258764040E1,1.139657547E2,2.474180865E1,1.356682172E0,2.701791962E2,1.421973913E1,1.421973913E1
7.367403710E1,2.258763990E1,1.139657357E2,2.512977343E1,1.505327412E0,2.696615640E2,1.421802595E1,1.421802595E1
7.467406714E1,2.258764055E1,1.139657136E2,2.534371868E1,1.542007149E0,2.668448347E2,1.421578347E1,1.421578347E1
7.567409742E1,2.258764596E1,1.139657017E2,2.494023655E1,1.644049880E0,2.709523249E2,1.421476725E1,1.421476725E1
7.667412663E1,2.258764973E1,1.139656911E2,2.448191249E1,1.511361945E0,2.729948907E2,1.421273257E1,1.421273257E1
