"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.464266625E0,-9.033714294E-1,5.755531311E-1,7.486232300E0
1.474222625E0,-4.863386536E-1,9.247769165E-1,7.164700928E0
1.484178625E0,-2.514770508E-2,1.224154358E0,6.991361389E0
1.494134625E0,3.766168213E-1,1.446442108E0,7.076384583E0
1.504090625E0,7.053332520E-1,1.661993866E0,7.421267395E0
1.514046625E0,8.942404175E-1,1.725012817E0,7.904312897E0
1.524002625E0,7.771838379E-1,1.611848145E0,8.136929169E0
1.533958625E0,4.068539429E-1,1.355281677E0,8.152646484E0
1.543913625E0,3.472778320E-2,1.160686340E0,8.210875397E0
1.553869625E0,-2.389031982E-1,1.094224548E0,8.220605164E0
1.563825625E0,-3.622467041E-1,1.193468170E0,8.230334930E0
1.573781625E0,-2.415975952E-1,1.334924011E0,8.226443024E0
1.583737625E0,-6.017486572E-2,1.394500122E0,8.431815948E0
1.593693625E0,1.996847534E-1,1.416204987E0,8.942404175E0
1.603649625E0,4.909790039E-1,1.505868530E0,9.519304504E0
1.613605625E0,6.926097107E-1,1.473535767E0,9.916877747E0
1.623561625E0,9.255253601E-1,1.174757080E0,1.015263748E1
1.633517625E0,1.051263885E0,8.904981995E-1,1.052027298E1
1.643472625E0,9.774673462E-1,5.619314575E-1,1.095706467E1
1.653428625E0,5.065466309E-1,2.984793091E-1,1.119791382E1
1.663384625E0,2.245330811E-1,3.821553040E-1,1.135089569E1
1.673340625E0,3.135978699E-1,7.824229431E-1,1.175565399E1
1.683297000E0,3.423381042E-1,1.307680664E0,1.218735626E1
1.693253000E0,1.688488770E-1,1.780247955E0,1.184516785E1
1.703209000E0,2.002835083E-1,2.263143768E0,1.076052338E1
1.713165000E0,5.818400574E-1,2.756517792E0,9.659862213E0
1.723121000E0,1.442400513E0,2.870730286E0,9.187743988E0
1.733077000E0,2.173031158E0,2.548899536E0,9.911638641E0
1.743032000E0,2.392774200E0,1.879641266E0,1.167557053E1
1.752988000E0,2.162253571E0,8.954379272E-1,1.312335983E1
1.762944000E0,1.357676697E0,-1.571731567E-1,1.367391495E1
1.772900000E0,1.996847534E-1,-1.018781433E0,1.346405136E1
1.782856000E0,-8.554710388E-1,-1.483864288E0,1.287682251E1
1.792812000E0,-1.529968414E0,-1.574725342E0,1.187390808E1
1.802768000E0,-1.623224487E0,-1.428629150E0,1.050739975E1
1.812724000E0,-1.009201355E0,-1.000669098E0,9.606872406E0
1.822680000E0,1.695973206E-1,-1.797761536E-1,9.408385162E0
1.832636000E0,1.452579346E0,7.702981567E-1,9.695637817E0
1.842592000E0,2.476599884E0,1.554667053E0,1.015578094E1
1.852547000E0,2.859204254E0,1.958527222E0,1.019275406E1
1.862503000E0,2.675386505E0,1.965712280E0,9.954748993E0
1.872459000E0,2.154619446E0,1.687590637E0,9.967322845E0
1.882415000E0,1.384920044E0,1.110989685E0,1.012419662E1
1.892371000E0,5.933660889E-1,4.769082642E-1,1.003558090E1
1.902327000E0,4.071533203E-2,1.225950623E-1,9.756710815E0
1.912283000E0,-2.673440552E-1,9.624984741E-2,9.402996368E0
1.922239000E0,-1.898052979E-1,2.848576355E-1,9.062753906E0
1.932195000E0,1.923500061E-1,5.403762817E-1,8.892707520E0
1.942151000E0,4.911286926E-1,9.415420532E-1,8.973689117E0
1.952106000E0,5.471122742E-1,1.309327240E0,8.968000946E0
1.962062000E0,4.073030090E-1,1.474433899E0,8.659791870E0
1.972018000E0,9.984237671E-2,1.527573395E0,8.145461426E0
1.981974000E0,-2.321672058E-1,1.562151489E0,7.546856232E0
1.991930000E0,-4.885839844E-1,1.577270050E0,7.034022675E0
2.001886000E0,-4.969665527E-1,1.647623749E0,6.692133636E0
2.011842000E0,-2.636018372E-1,1.872605896E0,6.652166748E0
2.021798000E0,-1.347198486E-3,2.011966095E0,6.771917725E0
2.031754000E0,2.947370911E-1,2.054178314E0,6.871610413E0
2.041710000E0,5.237608337E-1,2.050885162E0,7.042105865E0
2.051665000E0,5.583389282E-1,1.958377533E0,7.419171753E0
2.061621000E0,3.716770935E-1,1.609153748E0,7.898325348E0
2.071577000E0,-2.784210205E-2,1.054107971E0,8.450676727E0
2.081533000E0,-3.772155762E-1,7.038363647E-1,8.955726471E0
2.091489000E0,-6.117778015E-1,3.739224243E-1,9.364226990E0
2.101445000E0,-8.008346558E-1,1.706451416E-2,9.804760895E0
2.111401000E0,-7.906558228E-1,-4.805007935E-2,1.033810181E1
2.121357000E0,-5.120851135E-1,1.305285645E-1,1.065484314E1
2.131313000E0,5.942642212E-2,4.378395081E-1,1.092952194E1
2.141269000E0,6.641688538E-1,7.333250427E-1,1.131586853E1
2.151224000E0,1.044677582E0,9.642947388E-1,1.193647797E1
2.161180000E0,9.433383179E-1,9.581575012E-1,1.219259537E1
2.171136000E0,4.263134766E-1,8.023315430E-1,1.202060303E1
2.181092000E0,-3.785627747E-1,8.277786255E-1,1.169158722E1
2.191048000E0,-1.048120422E0,9.639953613E-1,1.128623016E1
2.201004000E0,-1.282682648E0,1.374591522E0,1.111798004E1
2.210960000E0,-1.008003845E0,1.888173523E0,1.150312912E1
2.220916000E0,-5.231620789E-1,2.349663849E0,1.164683029E1
2.230872000E0,1.287322998E-2,2.377955017E0,1.148441803E1
2.240828000E0,3.429368591E-1,2.000140686E0,1.150642227E1
2.250783000E0,2.559677124E-2,1.416803741E0,1.178663956E1
2.260739000E0,-5.065466309E-1,8.199948120E-1,1.245335312E1
2.270695000E0,-1.083746338E0,2.622546387E-1,1.295121780E1
2.280651000E0,-1.658850403E0,-1.413061523E-1,1.300121384E1
2.290607000E0,-1.975142670E0,-7.170089722E-2,1.262175293E1
2.300563000E0,-1.984722748E0,3.864962769E-1,1.187001617E1
2.310519000E0,-1.748813324E0,9.511221313E-1,1.087862778E1
2.320475000E0,-1.098116455E0,1.416803741E0,9.927805023E0
2.330431000E0,-7.514373779E-2,1.914967804E0,9.989925842E0
2.340387000E0,7.686515808E-1,2.323019257E0,1.084913910E1
2.350342000E0,9.824070740E-1,2.197131042E0,1.136182297E1
2.360298000E0,6.659651184E-1,1.701212311E0,1.107606720E1
2.370254000E0,4.969665527E-2,1.199306030E0,1.039184006E1
2.380210000E0,-5.766009521E-1,7.744894409E-1,9.595496063E0
2.390166000E0,-1.116677856E0,4.620890808E-1,8.841963043E0
2.400122000E0,-1.401685181E0,3.197351074E-1,8.234376526E0
2.410078000E0,-1.506167908E0,2.899470520E-1,7.762108612E0
2.420034000E0,-1.466201019E0,3.126997375E-1,7.361092529E0
2.429990000E0,-1.299896851E0,4.029620361E-1,6.983577576E0
2.439946000E0,-9.294172668E-1,5.441184998E-1,6.604416046E0
2.449901000E0,-6.140231323E-1,7.396119690E-1,6.532116394E0
2.459857000E0,-1.853146362E-1,8.728349304E-1,6.472689972E0
2.469813000E0,7.454498291E-2,9.388476562E-1,6.642137604E0
2.479769000E0,2.170486450E-2,9.601034546E-1,7.002288666E0
2.489725000E0,-1.760339355E-1,9.202862549E-1,6.914271698E0
2.499681000E0,-1.748364258E-1,1.039737854E0,6.491251373E0
2.509637000E0,-7.619155884E-2,1.338965607E0,6.076912994E0
2.519593000E0,1.383123779E-1,1.615889740E0,5.825136566E0
2.529549000E0,4.802014160E-1,1.858834534E0,5.875431976E0
2.539505000E0,8.475375366E-1,2.103425903E0,6.337670746E0
2.549460000E0,9.571096802E-1,2.191293182E0,6.926546173E0
2.559416000E0,7.858657837E-1,2.046544189E0,7.240892487E0
2.569372000E0,4.569996643E-1,1.826352081E0,7.269483032E0
2.579328000E0,2.963836670E-2,1.481918335E0,7.587122498E0
2.589284000E0,-6.297404480E-1,7.568261719E-1,8.310867462E0
2.599240000E0,-1.225950623E0,2.287243652E-1,9.180409241E0
2.609196000E0,-1.151854706E0,6.077362061E-2,9.933044128E0
2.619152000E0,-6.104306030E-1,1.282832336E-1,1.067759583E1
2.629108000E0,2.710862732E-1,2.752775574E-1,1.142708725E1
2.639063000E0,1.229094086E0,4.983137512E-1,1.207508972E1
2.649019000E0,2.012864227E0,7.851173401E-1,1.298968781E1
2.658975000E0,2.352957001E0,8.951385498E-1,1.383887192E1
2.668931000E0,2.105820923E0,9.190887451E-1,1.384171600E1
2.678887000E0,1.467248840E0,1.001417542E0,1.332035019E1
2.688842583E0,7.726931763E-1,1.293460236E0,1.242805573E1
2.698798583E0,6.899153137E-1,2.020348663E0,1.112202164E1
2.708754583E0,1.467099152E0,2.993475037E0,1.009904892E1
2.718710583E0,2.497256927E0,3.686683502E0,1.029229706E1
2.728666583E0,3.583997040E0,3.470832367E0,1.155117920E1
2.738621583E0,3.977828064E0,2.414628754E0,1.364697098E1
2.748577583E0,3.262765045E0,1.107846222E0,1.534833298E1
2.758533583E0,1.879042511E0,-4.881349182E-1,1.539219177E1
2.768489583E0,-1.136137390E-1,-2.143392792E0,1.468491257E1
2.778445583E0,-1.969155121E0,-3.264710999E0,1.400622391E1
2.788401583E0,-2.866988068E0,-3.552412720E0,1.327469513E1
2.798357583E0,-2.836002502E0,-2.860252075E0,1.200204163E1
2.808313583E0,-1.932182007E0,-1.648222504E0,1.036639297E1
2.818269583E0,-4.287084961E-1,-2.716850281E-1,9.135802002E0
2.828224583E0,1.384470978E0,1.145418091E0,8.974437561E0
2.838180583E0,2.799927521E0,2.350412292E0,9.441466370E0
2.848136583E0,3.507206726E0,2.935395813E0,9.908495178E0
2.858092583E0,3.313808899E0,2.795885925E0,9.766590271E0
2.868048583E0,2.549647980E0,2.376308441E0,9.235943756E0
2.878004583E0,1.772763519E0,1.892215118E0,8.725954285E0
2.887960583E0,8.740324402E-1,1.295705566E0,8.507857819E0
2.897916583E0,-2.844085693E-3,6.041436768E-1,8.528664551E0
2.907872583E0,-6.926097107E-1,9.744735718E-2,8.247249756E0
2.917828583E0,-1.066382446E0,3.308120728E-2,7.645501099E0
2.927783583E0,-1.015637970E0,2.823129272E-1,6.941065979E0
2.937739583E0,-6.791377258E-1,7.185058594E-1,6.598877563E0
2.947695583E0,-2.359094238E-1,1.154100037E0,6.653214569E0
2.957651583E0,2.113604736E-1,1.523531799E0,7.058421936E0
2.967607583E0,3.523672485E-1,1.664239197E0,7.616311798E0
2.977563583E0,1.841171265E-2,1.624421997E0,7.647297363E0
2.987519583E0,-4.575984192E-1,1.497485962E0,7.128176880E0
2.997475583E0,-8.259823608E-1,1.463506622E0,6.532415771E0
3.007431583E0,-1.008153534E0,1.437610474E0,6.552623749E0
3.017386583E0,-9.922865295E-1,1.372944946E0,7.006779327E0
3.027342583E0,-7.914042664E-1,1.330882416E0,7.733967133E0
3.037298583E0,-4.326004028E-1,1.316362610E0,8.514743500E0
3.047254583E0,-6.541397095E-2,1.457968140E0,9.114246826E0
3.057210583E0,1.082249451E-1,1.632056122E0,9.293573914E0
3.067166583E0,6.870712280E-2,1.617536316E0,9.114246826E0
3.077122583E0,-1.522334290E-1,1.540895691E0,8.909772034E0
3.087078583E0,-3.496728516E-1,1.449884949E0,8.869505768E0
3.097034583E0,-4.782554626E-1,1.357676697E0,9.036109314E0
3.106990583E0,-4.878355408E-1,1.290316772E0,9.267827454E0
3.116945583E0,-3.788621521E-1,1.326391754E0,9.733059998E0
3.126901583E0,-1.877096558E-1,1.392105103E0,1.020562729E1
3.136857583E0,1.368154907E-1,1.554367676E0,1.051937485E1
3.146813583E0,6.637197876E-1,1.852547607E0,1.090197922E1
3.156769583E0,1.020128632E0,2.201771393E0,1.128922394E1
3.166725583E0,9.752220154E-1,2.245480499E0,1.148830994E1
3.176681583E0,4.611909485E-1,2.125280457E0,1.157737473E1
3.186637583E0,-2.415975952E-1,1.936522980E0,1.148217270E1
3.196593583E0,-7.255412292E-1,1.784139862E0,1.156180710E1
