"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.250173879E1,2.258775939E1,1.139661107E2,2.344817265E1,1.383627507E0,2.761391591E2,1.425596240E1,1.425596240E1
6.349475169E1,2.258776019E1,1.139660963E2,2.297310907E1,1.402381586E0,2.789502648E2,1.425638664E1,1.425638664E1
6.449234426E1,2.258775569E1,1.139660800E2,2.295380655E1,1.553588001E0,2.692590797E2,1.425569397E1,1.425569397E1
6.549981725E1,2.258774937E1,1.139660652E2,2.347353324E1,1.412344742E0,2.573435629E2,1.425496972E1,1.425496972E1
6.649693680E1,2.258776038E1,1.139660549E2,2.275152639E1,1.330007463E0,2.867513254E2,1.425481448E1,1.425481448E1
6.749787867E1,2.258775924E1,1.139660429E2,2.351652309E1,1.265241382E0,2.848354696E2,1.426798939E1,1.426798939E1
6.849393272E1,2.258778107E1,1.139660320E2,2.307638895E1,1.758689828E0,3.227187979E2,1.427156155E1,1.427156155E1
6.949703062E1,2.258777285E1,1.139660160E2,2.284194310E1,1.395000409E0,2.922089597E2,1.426844591E1,1.426844591E1
7.049484336E1,2.258777266E1,1.139659992E2,2.297522254E1,1.434767889E0,2.745197487E2,1.427134385E1,1.427134385E1
7.149158108E1,2.258777683E1,1.139659860E2,2.284695241E1,1.387353824E0,2.803377484E2,1.426565396E1,1.426565396E1
7.249561536E1,2.258778016E1,1.139659658E2,2.279156444E1,1.517724240E0,2.755660643E2,1.426867165E1,1.426867165E1
7.349668610E1,2.258778197E1,1.139659500E2,2.295272809E1,1.363235914E0,2.722509090E2,1.426773394E1,1.426773394E1
7.449612689E1,2.258778532E1,1.139659294E2,2.304310674E1,1.580204273E0,2.749304612E2,1.426010710E1,1.426010710E1
7.549570799E1,2.258778938E1,1.139659170E2,2.320783438E1,1.335701489E0,2.821592983E2,1.425978624E1,1.425978624E1
7.649572301E1,2.258778702E1,1.139658972E2,2.324489103E1,1.653005082E0,2.730266155E2,1.426287688E1,1.426287688E1
7.749525785E1,2.258778624E1,1.139658873E2,2.325276784E1,1.276356431E0,2.798181408E2,1.426500442E1,1.426500442E1
7.849479699E1,2.258778152E1,1.139658725E2,2.356620356E1,1.275293773E0,2.664468513E2,1.426054166E1,1.426054166E1
7.949765313E1,2.258777946E1,1.139658625E2,2.349975382E1,1.025422421E0,2.644957371E2,1.425482994E1,1.425482994E1
8.049563408E1,2.258777482E1,1.139658457E2,2.373158238E1,1.301274986E0,2.680215748E2,1.425003032E1,1.425003032E1
8.149436784E1,2.258776999E1,1.139658227E2,2.324013647E1,1.545832250E0,2.759849653E2,1.424566060E1,1.424566060E1
8.250544107E1,2.258777366E1,1.139658071E2,2.345127905E1,1.534715979E0,2.766875144E2,1.424584636E1,1.424584636E1
8.350376487E1,2.258777562E1,1.139657949E2,2.369612801E1,1.493105134E0,2.716721330E2,1.423958882E1,1.423958882E1
8.450253904E1,2.258777311E1,1.139657837E2,2.422877333E1,1.495788149E0,2.724468918E2,1.423660449E1,1.423660449E1
8.550050461E1,2.258777453E1,1.139657686E2,2.427389072E1,1.402533236E0,2.720962664E2,1.423534305E1,1.423534305E1
8.650215793E1,2.258775869E1,1.139657490E2,2.467291647E1,1.740327268E0,2.483883294E2,1.423633732E1,1.423633732E1
8.749818265E1,2.258775951E1,1.139657416E2,2.424715683E1,1.201413030E0,2.559531064E2,1.423381740E1,1.423381740E1
8.849484789E1,2.258776060E1,1.139657252E2,2.372389818E1,1.553676877E0,2.647995114E2,1.422082120E1,1.422082120E1
8.950160229E1,2.258776335E1,1.139657066E2,2.430877959E1,1.691305255E0,2.702135258E2,1.421619522E1,1.421619522E1
9.049799371E1,2.258776424E1,1.139656909E2,2.422161380E1,1.653188827E0,2.736067278E2,1.421729325E1,1.421729325E1
9.149106073E1,2.258776565E1,1.139656834E2,2.411374238E1,1.292945103E0,2.725738984E2,1.421706612E1,1.421706612E1
9.249699044E1,2.258777615E1,1.139656647E2,2.417382138E1,1.610721692E0,2.829691854E2,1.421269514E1,1.421269514E1
9.349560559E1,2.258777692E1,1.139656447E2,2.440818744E1,1.808550251E0,2.832664295E2,1.421691787E1,1.421691787E1
9.449470508E1,2.258777996E1,1.139656332E2,2.424724286E1,1.599309027E0,2.855299920E2,1.422476894E1,1.422476894E1
9.549662352E1,2.258777484E1,1.139656275E2,2.509024275E1,1.097597990E0,2.725899914E2,1.422798712E1,1.422798712E1
9.649069190E1,2.258776308E1,1.139656101E2,2.392529390E1,1.241456791E0,2.609013727E2,1.423859818E1,1.423859818E1
9.749721885E1,2.258776132E1,1.139655933E2,2.387968500E1,1.320323152E0,2.652729143E2,1.423994704E1,1.423994704E1
9.849715233E1,2.258775550E1,1.139655757E2,2.297439870E1,1.373313476E0,2.645025358E2,1.425150241E1,1.425150241E1
9.949648631E1,2.258774898E1,1.139655670E2,2.290684264E1,1.136970783E0,2.612867131E2,1.425808336E1,1.425808336E1
1.004969488E2,2.258773226E1,1.139655456E2,2.225593353E1,1.394167105E0,2.554641574E2,1.426626980E1,1.426626980E1
1.014960788E2,2.258772611E1,1.139655277E2,2.188365984E1,1.485187210E0,2.582971511E2,1.426552118E1,1.426552118E1
1.024958248E2,2.258773492E1,1.139655093E2,1.942550553E1,1.428667899E0,2.684532796E2,1.425404627E1,1.425404627E1
1.034970239E2,2.258774688E1,1.139654881E2,1.937094590E1,1.636442565E0,2.769696260E2,1.425243569E1,1.425243569E1
1.044949424E2,2.258775860E1,1.139654697E2,1.980856071E1,1.722635298E0,2.840185861E2,1.425664097E1,1.425664097E1
1.054970506E2,2.258776950E1,1.139654485E2,1.994236577E1,1.974103595E0,2.875042010E2,1.427638644E1,1.427638644E1
1.064949038E2,2.258777826E1,1.139654363E2,1.941303852E1,1.862330964E0,2.903726812E2,1.428924347E1,1.428924347E1
1.075001918E2,2.258777341E1,1.139654309E2,1.908802828E1,1.458827338E0,2.836041328E2,1.429973228E1,1.429973228E1
1.084984467E2,2.258776348E1,1.139654243E2,1.967545834E1,1.199682082E0,2.708292930E2,1.426268693E1,1.426268693E1
1.095033031E2,2.258775587E1,1.139654156E2,2.004946368E1,1.200376156E0,2.708317555E2,1.424058235E1,1.424058235E1
1.104978207E2,2.258775280E1,1.139653933E2,2.030109512E1,1.062743998E0,2.716930715E2,1.422788410E1,1.422788410E1
1.114945871E2,2.258775651E1,1.139653738E2,2.111315938E1,1.388627542E0,2.780759808E2,1.422446220E1,1.422446220E1
1.124926684E2,2.258775518E1,1.139653589E2,2.124651293E1,1.414353454E0,2.811369571E2,1.422072179E1,1.422072179E1
1.134956934E2,2.258776467E1,1.139653411E2,2.166945520E1,1.671198307E0,2.905023814E2,1.421437207E1,1.421437207E1
1.144966273E2,2.258776888E1,1.139653254E2,2.132724665E1,1.570536477E0,2.849438580E2,1.421463160E1,1.421463160E1
1.154967598E2,2.258776909E1,1.139653206E2,2.140248377E1,9.960238547E-1,2.832350723E2,1.420739316E1,1.420739316E1
1.164943945E2,2.258776517E1,1.139653089E2,2.082551862E1,6.513243082E-1,2.699479950E2,1.419922179E1,1.419922179E1
1.174913553E2,2.258776707E1,1.139652897E2,2.135366962E1,9.568374012E-1,2.704902892E2,1.419711456E1,1.419711456E1
1.184968690E2,2.258776639E1,1.139652772E2,2.218017885E1,1.122922379E0,2.684922715E2,1.419730393E1,1.419730393E1
1.194957523E2,2.258776587E1,1.139652609E2,2.232348837E1,1.303834948E0,2.711157000E2,1.419571893E1,1.419571893E1
1.204969465E2,2.258776239E1,1.139652452E2,2.182551939E1,1.365457787E0,2.687251434E2,1.418949125E1,1.418949125E1
1.214974011E2,2.258775924E1,1.139652267E2,2.118087855E1,1.614479972E0,2.652851072E2,1.418775598E1,1.418775598E1
1.224961091E2,2.258775730E1,1.139652128E2,2.135665924E1,1.578206997E0,2.627460383E2,1.418842033E1,1.418842033E1
1.234903188E2,2.258775834E1,1.139651982E2,2.102282848E1,1.485132215E0,2.646374072E2,1.419098514E1,1.419098514E1
1.244918590E2,2.258776372E1,1.139651836E2,2.101253810E1,1.446047748E0,2.710825564E2,1.418429928E1,1.418429928E1
1.254972538E2,2.258776630E1,1.139651711E2,2.146802074E1,1.260133581E0,2.735566171E2,1.418450066E1,1.418450066E1
1.264955347E2,2.258776617E1,1.139651614E2,2.094168802E1,9.158965896E-1,2.762431680E2,1.418211859E1,1.418211859E1
1.274902797E2,2.258776963E1,1.139651407E2,2.070680836E1,1.264981634E0,2.745172691E2,1.418195959E1,1.418195959E1
