"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.576185742E1,-4.620890808E-1,5.403762817E-2,6.546785889E0
7.675756362E1,7.421566772E-1,1.772314453E0,6.846762085E0
7.775327175E1,-4.267625427E-1,2.519261169E0,5.948779449E0
7.874897950E1,1.148112488E-1,9.342073059E-1,7.431595917E0
7.974468662E1,3.956272888E-1,1.811832275E0,5.426216125E0
8.074039350E1,1.374142456E-1,1.426683197E0,7.611821136E0
8.173610037E1,-4.231700134E-1,8.894503784E-1,8.373736725E0
8.273180654E1,-9.949809265E-1,-1.670675812E0,1.636337219E1
8.372751304E1,3.146456909E-1,1.665137329E0,1.431622925E1
8.472322000E1,6.063890076E-1,-5.462141418E-1,1.399155441E1
8.571892504E1,-2.572250977E0,8.330177307E-1,7.769143982E0
8.671463117E1,2.112556915E0,1.452729034E0,9.281748505E0
8.771033504E1,2.390977936E0,-2.917433167E-1,1.064511337E1
8.870604025E1,-8.168513489E-1,-6.795867920E-2,8.947942657E0
8.970174192E1,-1.977388000E-1,2.608026581E0,4.725972290E0
9.069744512E1,2.782713318E-1,2.392624512E0,4.977299652E0
9.169314600E1,4.649331665E-1,1.794169006E0,4.636757812E0
9.268884779E1,4.947212219E-1,1.491648102E0,6.609655151E0
9.368454875E1,3.044668579E-1,6.724017334E-1,9.455836487E0
9.468024975E1,3.185375977E-1,2.377955017E0,7.299570465E0
9.567594975E1,-8.014334106E-1,1.894161072E0,8.891809387E0
9.667165092E1,-4.448748779E-1,4.581971741E-1,1.274973679E1
9.766735262E1,-1.169667664E0,-4.921765137E-1,1.631292709E1
9.866305242E1,1.067280579E-1,1.583556976E0,1.425740158E1
9.965875317E1,3.951782227E-1,-2.650987244E-1,1.570504120E1
1.006544536E2,-3.019221497E-1,9.018745422E-1,1.097203354E1
1.016501553E2,-2.422412567E0,-2.520308990E0,1.302935532E1
1.026458559E2,-2.499053192E0,-1.093476105E0,9.616602173E0
1.036415567E2,-9.723779297E-1,1.337468719E0,8.295449524E0
1.046372580E2,8.137078857E-1,1.422791290E0,9.076674957E0
1.056329580E2,1.936223602E0,3.932322693E-1,1.134775223E1
1.066286585E2,1.228944397E0,1.024619293E0,1.020637573E1
1.076243577E2,-1.279539185E0,-4.034111023E-1,8.792715454E0
1.086200585E2,-1.016386414E-1,8.038284302E-1,6.727759552E0
1.096157576E2,-6.915618896E-2,3.329077148E-1,7.258256378E0
1.106114559E2,1.856140137E-1,1.233884125E0,6.626120911E0
1.116071535E2,4.161346436E-1,1.781595154E0,7.142097931E0
1.126028515E2,5.683680725E-1,3.205434265E0,9.118288422E0
1.135985467E2,-1.155447235E0,1.170865173E0,1.002555176E1
1.145942429E2,-7.752378845E-1,-3.008743286E-2,1.208407104E1
1.155899382E2,9.595046997E-1,-8.322692871E-2,1.074585388E1
1.165856344E2,-4.144880676E-1,-6.541397095E-1,1.358140732E1
1.175813290E2,7.765850830E-1,2.229314117E0,1.311303131E1
1.185770245E2,7.737409973E-1,5.822891235E-2,1.491408600E1
1.195727197E2,-1.122665405E-1,2.160008240E0,1.227627136E1
1.205684165E2,6.551875305E-1,2.389181671E0,1.191597061E1
1.215641122E2,-5.770500183E-1,1.446741486E0,1.346075821E1
1.225598077E2,-4.022135925E-1,1.356778564E0,1.221025864E1
1.235555041E2,8.156538391E-1,1.485510864E0,1.461141541E1
1.245512001E2,1.609303436E0,1.556163940E0,1.323547668E1
1.255468960E2,4.414320374E-1,1.579216003E0,1.276201126E1
1.265425914E2,3.767665100E-1,1.179547119E0,1.233180588E1
1.275382870E2,6.554869080E-1,1.509910126E0,1.278611115E1
1.285339819E2,1.587598572E0,8.273295593E-1,1.173230255E1
1.295296768E2,1.308578796E0,1.673519897E0,1.298878967E1
1.305253714E2,2.509830780E0,2.240241394E0,1.554502396E1
1.315210650E2,1.864073639E0,2.128124542E0,1.257609787E1
1.325167593E2,8.026309204E-1,2.866089935E0,1.296289352E1
1.335124541E2,2.312091980E0,1.926044769E0,1.395712601E1
1.345081467E2,-7.114704895E-1,8.948391724E-1,1.324355988E1
1.355038399E2,2.754272461E-2,7.572752380E-1,1.277698013E1
1.364995342E2,-8.634045410E-1,-5.855822754E-1,1.203796692E1
1.374952267E2,5.213658142E-1,-7.723937988E-2,1.250724106E1
1.384909208E2,1.423839111E0,-5.622308350E-1,1.471275467E1
1.394866143E2,1.126108246E0,2.490371246E0,1.315210007E1
1.404823070E2,1.183439026E0,2.176024933E0,1.049153275E1
1.414779990E2,1.101110229E0,2.161654816E0,7.701035614E0
1.424736912E2,4.767585754E-1,1.413211212E0,6.470744019E0
1.434693827E2,-1.491199036E0,1.003213806E0,9.122629395E0
1.444650748E2,-4.617897034E-1,-6.689588928E-1,1.213002548E1
1.454607649E2,3.502716064E-2,2.367776184E0,7.951764221E0
1.464564559E2,-5.337899780E-1,1.375789032E0,9.814041595E0
1.474521472E2,-7.478448486E-1,1.620081024E0,9.391470337E0
1.484478386E2,-5.592370605E-1,1.462309113E0,9.163793793E0
1.494435294E2,-5.673202515E-1,1.151405640E0,9.536069641E0
1.504392210E2,-2.504292297E-1,1.119072876E0,9.661808167E0
1.514349129E2,-3.866459656E-1,1.041085052E0,9.636361084E0
1.524306055E2,-6.761439514E-1,9.383985901E-1,9.643546143E0
