"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.324395943E2,-2.375594229E-1,-1.119842157E-1,-3.109759837E-2
1.334352891E2,-5.068753362E-1,1.799478531E-1,-2.236358672E-1
1.344309808E2,-7.782487273E-1,-1.057919338E-1,-3.224750161E-1
1.354266749E2,-4.987304807E-1,-2.883917093E-2,-3.353596628E-1
1.364223682E2,-6.285642982E-1,2.928920984E-1,6.350018829E-2
1.374180617E2,-5.677827597E-1,6.788303256E-1,5.069854259E-1
1.384137548E2,-2.488173693E-1,1.319171302E-2,-3.090918362E-1
1.394094493E2,-3.334697187E-1,-1.892933846E-1,-1.527975220E-2
1.404051410E2,9.953020141E-3,-8.587890863E-2,1.189250946E-1
1.414008340E2,6.088731885E-1,4.817536473E-2,5.897338986E-1
1.423965262E2,2.181132138E-1,8.455070853E-2,-8.232683688E-2
1.433922177E2,-4.568270743E-1,9.210405499E-2,-2.206554711E-1
1.443879087E2,-8.879063129E-1,-2.525868714E-1,-2.136988379E-2
1.453835999E2,3.771813810E-1,3.855928779E-1,4.165269136E-1
1.463792909E2,-1.747880876E-2,-4.261994734E-3,-7.942014188E-2
1.473749812E2,1.316017471E-2,4.547497258E-2,1.815264695E-3
1.483706726E2,-1.020251960E-2,-4.663132131E-6,-5.188345164E-2
1.493663644E2,-1.627673395E-2,3.189165145E-2,-7.961809635E-2
1.503620560E2,3.746604547E-2,4.785376135E-3,2.503219619E-2
1.513577479E2,1.738553308E-2,-1.388708130E-2,-1.971581019E-3
1.523534395E2,8.850269020E-3,1.613658667E-2,-1.701650769E-2
