"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.382194754E1,4.652053452E1,-6.377571106E0,-2.081318665E1
4.481766563E1,4.411355209E1,-3.810249329E0,-1.995857239E1
4.581338142E1,4.171642685E1,2.547851562E0,-1.955604553E1
4.680909700E1,4.120225906E1,8.216758728E0,-2.136622620E1
4.780481212E1,4.123030472E1,-3.052764893E0,-2.469583130E1
4.880052587E1,4.151376724E1,-2.296646118E0,-2.452423096E1
4.979623888E1,4.471366501E1,-6.069068909E0,-2.048838806E1
5.079195250E1,4.890271378E1,8.411407471E-1,-1.911396790E1
5.178766329E1,5.077147293E1,2.565959930E0,-1.459060669E1
5.278337529E1,4.800356674E1,-1.791427612E0,-1.505274963E1
5.377908625E1,4.456753159E1,1.034217834E0,-1.588998413E1
5.477479837E1,4.696581650E1,3.695419312E0,-1.666171265E1
5.577051037E1,4.828675461E1,2.025562286E0,-1.197468567E1
5.676622250E1,4.957320023E1,-7.685089111E-1,-1.560862732E1
5.776193400E1,4.957103348E1,-2.821075439E0,-1.392579651E1
5.875764612E1,4.978012466E1,-8.496467590E0,-1.341195679E1
5.975335725E1,4.463222122E1,-6.707138062E0,-9.336120605E0
6.074906775E1,3.901023483E1,-3.280197144E0,-7.187820435E0
6.174477750E1,4.142792892E1,3.481147766E0,-1.067640686E1
6.274048813E1,5.076633835E1,4.017597198E0,-1.237821960E1
6.373619725E1,5.426158524E1,2.726978302E0,-1.433337402E1
6.473190612E1,5.152650070E1,6.686195374E0,-1.540919495E1
6.572761425E1,5.061565781E1,-6.632461548E-1,-1.837420654E1
6.672332175E1,4.898746109E1,-1.082096100E1,-1.952406311E1
6.771903004E1,4.907022476E1,-6.864173889E0,-1.727221680E1
6.871473792E1,4.792687607E1,-3.124618530E0,-1.522273254E1
6.971044487E1,4.969077682E1,-3.481208801E0,-1.722889709E1
7.070615300E1,5.019842148E1,1.001007080E0,-1.844880676E1
7.170185979E1,4.939155197E1,-2.741851807E-1,-1.696165466E1
7.269756750E1,4.731412888E1,-8.872795105E0,-1.896127319E1
7.369327492E1,4.879127121E1,-5.125282288E0,-2.133035278E1
7.468898317E1,4.406934738E1,-8.409194946E0,-2.508018494E1
7.568469042E1,3.851057816E1,-5.756477356E0,-2.545292664E1
7.668039762E1,4.512813950E1,-2.812026978E0,-2.277105713E1
7.767610475E1,4.751211929E1,-5.677322388E0,-2.097544861E1
7.867181250E1,4.522192764E1,-6.982673645E0,-2.044252014E1
7.966751962E1,4.109818649E1,1.900939941E-1,-2.514546204E1
8.066322650E1,3.979792404E1,-2.826461792E-1,-2.286967468E1
8.165893337E1,3.656699753E1,-9.172843933E0,-2.114556885E1
8.265463954E1,3.113927841E1,-8.654327393E0,-1.881945801E1
8.365034704E1,2.935512924E1,3.457733154E0,-2.060476685E1
8.464605300E1,3.925809097E1,4.769363403E0,-2.169825745E1
8.564175904E1,4.705060196E1,-1.381622314E0,-1.849885559E1
8.663746417E1,4.784807968E1,-3.570106506E0,-1.900184631E1
8.763316904E1,4.758339310E1,3.473968506E-1,-2.092076111E1
8.862887425E1,4.970566177E1,5.688217163E0,-2.077488708E1
8.962457592E1,5.252339554E1,1.169151306E0,-2.461933899E1
9.062027812E1,5.174563980E1,-8.205329895E0,-1.953840637E1
9.161598000E1,4.784595108E1,-9.550254822E0,-2.066314697E1
9.261168179E1,4.602115250E1,-4.058631897E0,-2.268850708E1
9.360738275E1,4.432810593E1,-1.175071716E0,-2.266766357E1
9.460308375E1,4.370641708E1,-3.925750732E0,-2.021081543E1
9.559878375E1,4.606977463E1,-1.087265015E-1,-1.934490967E1
9.659448492E1,5.130439377E1,-4.348373413E-1,-1.959205627E1
9.759018662E1,5.337639999E1,-1.349639893E1,-1.703652954E1
9.858588642E1,4.710338974E1,-1.087332916E1,-1.964216614E1
9.958158717E1,4.098613358E1,-1.106436920E1,-2.097801208E1
1.005772876E2,3.997380447E1,-8.983757019E0,-1.953053284E1
1.015729893E2,3.475565720E1,-9.155448914E0,-1.929026794E1
1.025686899E2,3.032491684E1,-6.216491699E0,-2.083020020E1
1.035643908E2,2.994445419E1,-3.171058655E0,-2.097209167E1
1.045600920E2,3.115961075E1,1.425487518E0,-2.134339905E1
1.055557920E2,3.421508408E1,1.503623962E0,-2.054667664E1
1.065514925E2,3.821714401E1,-3.516944885E0,-1.620677185E1
1.075471917E2,3.873438644E1,-4.456428528E0,-1.650213623E1
1.085428925E2,3.912334061E1,-2.363311768E0,-1.783088684E1
1.095385916E2,4.020296860E1,-2.302482605E0,-1.930111694E1
1.105342899E2,4.018832779E1,-3.486511230E0,-1.836836243E1
1.115299875E2,4.009542465E1,-5.296325684E0,-1.833781433E1
1.125256855E2,4.089220810E1,-8.189598083E0,-1.573802185E1
1.135213807E2,4.107806015E1,-1.034930420E1,-1.750445557E1
1.145170769E2,4.408610153E1,-7.709281921E0,-1.547917175E1
1.155127732E2,4.890600967E1,-2.374389648E0,-1.371505737E1
1.165084684E2,5.027458572E1,-7.518768311E-2,-1.271398926E1
1.175041630E2,4.760058212E1,-4.750495911E0,-1.579820251E1
1.184998595E2,4.560650253E1,-2.599540710E0,-1.844836426E1
1.194955537E2,4.424456406E1,-5.143920898E0,-1.837579346E1
1.204912505E2,4.215993881E1,-3.687088013E0,-2.125888062E1
1.214869462E2,4.287955093E1,-2.509941101E0,-1.974539185E1
1.224826418E2,4.453913498E1,-5.054092407E0,-1.924601746E1
1.234783391E2,4.719363022E1,-5.717384338E0,-1.888502502E1
1.244740351E2,4.870864487E1,-7.601119995E0,-2.028736877E1
1.254697300E2,4.820300674E1,-1.011767578E1,-1.899580383E1
1.264654254E2,4.416147232E1,-1.404957581E1,-1.849349976E1
1.274611210E2,4.297934341E1,-9.338584900E0,-1.836726379E1
1.284568169E2,4.273462296E1,-6.536422729E0,-2.054241943E1
1.294525108E2,4.284022141E1,-6.209983826E0,-2.238880920E1
1.304482064E2,4.294837570E1,-7.101333618E0,-2.180177307E1
1.314439000E2,4.087854385E1,-6.905548096E0,-2.544268799E1
1.324395943E2,4.184433365E1,-7.613815308E0,-2.342742920E1
1.334352891E2,4.019752121E1,-7.235855103E0,-2.601048279E1
1.344309808E2,3.941659164E1,-8.219108582E0,-2.421209717E1
1.354266749E2,3.817285538E1,-9.684982300E0,-2.571594238E1
1.364223682E2,3.853947067E1,-9.786003113E0,-2.634313965E1
1.374180617E2,3.797460556E1,-3.457710266E0,-2.661061096E1
1.384137548E2,3.665306473E1,-7.998786926E0,-2.705889893E1
1.394094493E2,3.604138565E1,-1.550666809E0,-2.802096558E1
1.404051410E2,3.670158005E1,-1.036475372E1,-2.412579346E1
1.414008340E2,3.709642410E1,-7.436584473E0,-2.440371704E1
1.423965262E2,3.644192123E1,-5.691986084E0,-2.585108948E1
1.433922177E2,3.898709488E1,-4.070564270E0,-1.995272827E1
1.443879087E2,3.746281815E1,-8.721847534E-1,-2.412249756E1
1.453835999E2,4.014735031E1,-2.633926392E0,-2.330439758E1
1.463792909E2,4.093017197E1,-9.233016968E-1,-2.249192810E1
1.473749812E2,4.148799515E1,-4.594230652E0,-2.088444519E1
1.483706726E2,4.138639450E1,-5.360488892E0,-2.099023438E1
1.493663644E2,4.128474045E1,-2.622406006E0,-2.153054810E1
1.503620560E2,4.061610031E1,-2.055931091E0,-2.221704102E1
1.513577479E2,4.105177689E1,-1.198341370E0,-2.211180115E1
1.523534395E2,4.135275650E1,-8.583374023E-1,-2.132289124E1
