"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.263993750E0,-3.758800924E-1,3.960967362E-1,9.940189362E0
1.275993750E0,-3.130179346E-1,3.855143487E-1,9.823744774E0
1.285993750E0,-3.370844424E-1,3.642251194E-1,9.882834435E0
1.297992187E0,-4.099352062E-1,4.350743294E-1,9.901421547E0
1.308035937E0,-4.101650715E-1,4.373153150E-1,9.883408546E0
1.319992187E0,-4.389337897E-1,5.216295123E-1,9.777853012E0
1.329993750E0,-3.723366559E-1,5.691113472E-1,9.736001968E0
1.339993750E0,-2.399756312E-1,5.323363543E-1,9.718247414E0
1.349993750E0,-2.042828649E-1,4.604337215E-1,9.792897224E0
1.361993750E0,-1.499919444E-1,3.502908647E-1,1.001143074E1
1.371993750E0,-2.058247328E-1,3.791936636E-1,9.959869385E0
1.383992187E0,-2.606711090E-1,4.931385219E-1,9.861812592E0
1.393993750E0,-3.551941812E-1,5.280459523E-1,9.619423866E0
1.403993750E0,-3.661117554E-1,5.777112842E-1,9.463494301E0
1.415993750E0,-2.242983878E-1,5.964052081E-1,9.552787781E0
1.425993750E0,-2.323907912E-1,5.646198392E-1,9.593375206E0
1.435993750E0,-2.422070205E-1,5.353722572E-1,9.828782082E0
1.445993750E0,-1.209359095E-1,4.983482957E-1,9.986512184E0
1.457993750E0,-1.562647521E-1,5.099841356E-1,9.909150124E0
1.469992187E0,-1.731869876E-1,5.488372445E-1,9.721291542E0
1.479993750E0,-1.399746090E-1,5.652039647E-1,9.650547981E0
1.489993750E0,-7.423940301E-2,5.383410454E-1,9.555661201E0
1.501993750E0,1.997721940E-2,5.165920854E-1,9.675285339E0
1.511993750E0,6.031472608E-2,5.099458098E-1,9.780295372E0
1.521993750E0,7.422025502E-2,4.853334129E-1,9.820248604E0
1.533993750E0,1.362109184E-1,4.490469098E-1,9.975153923E0
1.543993750E0,1.267777681E-1,4.191959798E-1,9.903711319E0
1.555992187E0,5.368757993E-2,4.187937677E-1,9.859140396E0
1.565993750E0,-8.072290570E-2,4.237353802E-1,9.947735786E0
1.575993750E0,-2.055278420E-1,4.457907677E-1,1.014164639E1
1.585993750E0,-2.883002162E-1,4.843374193E-1,1.003197384E1
1.595993750E0,-2.132850587E-1,5.463759899E-1,9.857455254E0
1.605993750E0,-1.365939975E-1,6.423355937E-1,9.783253670E0
1.617993750E0,-2.137543261E-2,7.962636352E-1,9.913105011E0
1.627993750E0,-6.943184882E-3,8.196309805E-1,9.892745972E0
1.639992187E0,1.701511294E-1,6.606847644E-1,9.966458321E0
1.649993750E0,-9.117119946E-3,4.719929099E-1,1.005123234E1
1.661993750E0,1.087925285E-1,2.085924298E-1,1.020551491E1
1.673993750E0,3.665139675E-1,1.494556367E-1,1.035665512E1
1.683993750E0,3.607870340E-1,2.070218325E-1,1.039670563E1
1.693993750E0,3.260040879E-1,3.899005353E-1,1.021404743E1
1.705993750E0,3.398808539E-1,6.751552820E-1,1.002262592E1
1.715993750E0,2.903400660E-1,9.403083324E-1,1.025403976E1
1.727992187E0,5.698200315E-2,1.035070777E0,9.989892960E0
1.737993750E0,1.444757134E-1,9.832411408E-1,9.819061279E0
1.747993750E0,6.818686612E-3,8.293323517E-1,9.777910233E0
1.759993750E0,-1.495609879E-1,6.552930474E-1,9.735753059E0
1.769993750E0,7.489063591E-2,3.975906968E-1,9.788013458E0
1.779993750E0,2.086690366E-1,3.214167655E-1,9.827824593E0
1.791993750E0,3.524264693E-1,2.900336087E-1,9.971657753E0
1.801993750E0,3.431082368E-1,3.031059206E-1,9.910300255E0
1.813992187E0,1.629780978E-1,4.377941489E-1,9.874827385E0
1.823993750E0,1.810016483E-1,6.261795163E-1,1.020515060E1
1.833993750E0,1.512177736E-1,6.534829736E-1,1.028597832E1
1.845993750E0,1.547516137E-1,7.413693070E-1,9.971849442E0
1.855993750E0,-3.346136585E-2,6.709989905E-1,9.937125206E0
1.865993750E0,-2.697978020E-1,5.863112807E-1,9.614893913E0
1.875993750E0,-4.800853506E-2,4.708053768E-1,9.349731445E0
1.887993750E0,4.620713592E-1,2.530575395E-1,9.286026001E0
1.899992187E0,1.413345188E-1,3.837426305E-1,9.334244728E0
1.909993750E0,-1.397639215E-1,4.752681851E-1,9.325396538E0
1.919993750E0,-2.353212833E-1,4.917977452E-1,9.389791489E0
1.931993750E0,-3.980791271E-1,6.025726795E-1,9.711465836E0
1.943992187E0,-3.769048154E-1,6.311690211E-1,9.896116257E0
1.953992187E0,-4.145991206E-1,6.361393929E-1,9.749811172E0
1.963993750E0,-3.677876890E-1,6.109907031E-1,9.583903313E0
1.975993750E0,-2.339326590E-1,4.504642785E-1,9.805606842E0
1.987992187E0,-1.517828107E-1,3.021386862E-1,9.876791000E0
