"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.596987375E1,3.375000000E0,-2.993750000E1,-4.262500000E1
5.598987219E1,3.562500000E0,-3.018750000E1,-4.256250000E1
5.599987219E1,3.875000000E0,-3.043750000E1,-4.250000000E1
5.600987375E1,4.062500000E0,-3.050000000E1,-4.250000000E1
5.602987219E1,4.500000000E0,-3.081250000E1,-4.243750000E1
5.603987375E1,4.500000000E0,-3.106250000E1,-4.250000000E1
5.605987219E1,4.750000000E0,-3.143750000E1,-4.243750000E1
5.606987375E1,4.875000000E0,-3.137500000E1,-4.256250000E1
5.607987375E1,4.875000000E0,-3.156250000E1,-4.268750000E1
5.608987375E1,5.125000000E0,-3.143750000E1,-4.262500000E1
5.610987375E1,5.000000000E0,-3.131250000E1,-4.275000000E1
5.612988625E1,5.125000000E0,-3.093750000E1,-4.281250000E1
5.614987375E1,5.312500000E0,-3.093750000E1,-4.300000000E1
5.616987219E1,5.062500000E0,-3.075000000E1,-4.312500000E1
5.617987219E1,4.812500000E0,-3.068750000E1,-4.318750000E1
5.618987219E1,4.750000000E0,-3.075000000E1,-4.306250000E1
5.619987219E1,4.812500000E0,-3.068750000E1,-4.293750000E1
5.620987375E1,4.750000000E0,-3.068750000E1,-4.287500000E1
5.621987375E1,4.625000000E0,-3.087500000E1,-4.281250000E1
5.623987219E1,4.437500000E0,-3.062500000E1,-4.256250000E1
5.624987375E1,4.500000000E0,-3.075000000E1,-4.256250000E1
5.626987219E1,4.375000000E0,-3.075000000E1,-4.243750000E1
5.627987375E1,4.250000000E0,-3.068750000E1,-4.250000000E1
5.628987375E1,4.187500000E0,-3.068750000E1,-4.275000000E1
5.630987219E1,4.125000000E0,-3.062500000E1,-4.300000000E1
5.631987219E1,3.875000000E0,-3.075000000E1,-4.318750000E1
5.632987375E1,4.000000000E0,-3.062500000E1,-4.331250000E1
5.634987375E1,3.875000000E0,-3.043750000E1,-4.337500000E1
5.635987375E1,3.812500000E0,-3.056250000E1,-4.343750000E1
5.636987375E1,3.812500000E0,-3.075000000E1,-4.350000000E1
5.637987375E1,3.500000000E0,-3.062500000E1,-4.356250000E1
5.639987219E1,3.437500000E0,-3.062500000E1,-4.368750000E1
