"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.277473750E0,-3.647738136E-3,3.975860029E-2,-1.296779606E-2
1.287473750E0,-1.445132587E-2,2.996730246E-2,-8.499753661E-3
1.299472187E0,-1.364847459E-2,2.162462845E-2,2.303834539E-3
1.309515937E0,-1.298524998E-2,3.549999744E-2,1.104793418E-2
1.321472187E0,-9.215338156E-3,5.492551252E-2,1.434660610E-2
1.331473750E0,-1.677261479E-2,3.876376152E-2,1.413716655E-2
1.341473750E0,-2.462659590E-2,3.019419685E-2,8.709193207E-3
1.351473750E0,-2.597049996E-2,2.759365551E-2,6.754423957E-3
1.363473750E0,-4.642575979E-3,3.441789374E-2,1.179842558E-2
1.373473750E0,5.619960371E-3,3.096214123E-2,1.122246683E-2
1.385472187E0,1.748819835E-2,4.218460619E-2,1.258382387E-2
1.395473750E0,1.790707745E-2,2.745402977E-2,1.424188633E-2
1.405473750E0,-1.291543595E-3,1.848303713E-2,1.991420612E-2
1.417473750E0,-2.267182618E-2,2.118829638E-2,2.227040194E-2
1.427473750E0,-3.405137360E-2,1.535889693E-2,1.923352852E-2
1.437473750E0,-4.345869645E-2,8.709193207E-3,2.270673402E-2
1.447473750E0,-3.410373256E-2,2.303834632E-2,2.125811018E-2
1.459473750E0,-2.448697016E-2,2.558652684E-2,2.263692021E-2
1.471472187E0,-2.961823717E-2,2.731440216E-2,2.281145379E-2
1.481473750E0,-4.253367335E-2,2.607521974E-2,2.401573025E-2
1.491473750E0,-5.260422453E-2,1.708677411E-2,2.246238664E-2
1.503473750E0,-6.255260110E-2,1.340412907E-2,1.679006778E-2
1.513473750E0,-5.832890421E-2,1.415462047E-2,6.562437862E-3
1.523473750E0,-5.420992523E-2,1.733111963E-2,-2.914699726E-3
1.535473750E0,-5.157447979E-2,8.220500313E-3,-1.359611470E-2
1.545473750E0,-5.323254317E-2,-9.738937020E-3,-2.881538495E-2
1.557472187E0,-7.202973962E-2,-2.768092230E-2,-3.396410868E-2
1.567473750E0,-7.642796636E-2,-2.593559213E-2,-2.823942713E-2
1.577473750E0,-5.918411538E-2,-1.457349956E-2,-1.153662615E-2
1.587473750E0,-4.459316283E-2,-1.317723561E-2,1.513200440E-2
1.597473750E0,-4.125958309E-2,-9.564404376E-3,3.600614145E-2
1.607473750E0,-5.914920941E-2,-1.113520097E-2,4.845033959E-2
1.619473750E0,-5.708971992E-2,-2.024581889E-3,5.026548356E-2
1.629473750E0,-6.101670861E-2,-1.076868176E-2,5.321509019E-2
1.641472187E0,-6.269222498E-2,-2.509783395E-2,4.288274050E-2
1.651473750E0,-6.974335760E-2,-5.227261037E-2,4.806636646E-2
1.663473750E0,-6.628760695E-2,-5.408775434E-2,6.726498902E-2
1.675473750E0,-3.857177496E-2,-3.724532574E-2,6.445501000E-2
1.685473750E0,-1.570796361E-3,-4.003785178E-2,4.708898440E-2
1.695473750E0,1.932079531E-2,-5.365142226E-2,3.413863853E-2
1.707473750E0,2.862340026E-2,-5.787511915E-2,-8.028514567E-4
1.717473750E0,4.792674258E-2,-3.122393973E-2,-3.618067503E-2
1.729472187E0,7.527604699E-2,-1.741838641E-2,-6.654940546E-2
1.739473750E0,6.621779501E-2,-1.626646891E-2,-8.337438107E-2
1.749473750E0,5.743878707E-2,-1.429424621E-2,-8.683013171E-2
1.761473750E0,4.122467712E-2,-1.850049011E-3,-3.408627957E-2
1.771473750E0,3.214896470E-2,-1.815142459E-3,2.652900526E-3
1.781473750E0,2.940879762E-2,-1.045452245E-2,2.637192421E-2
1.793473750E0,3.857177496E-2,-3.415609151E-2,3.352777660E-2
1.803473750E0,4.921828583E-2,-4.466297477E-2,1.961750165E-2
1.815472187E0,4.455825686E-2,-4.651302472E-2,3.839724232E-3
1.825473750E0,5.927138031E-2,-3.415609151E-2,-2.106612362E-2
1.835473750E0,8.834856749E-2,-2.638937905E-2,-5.291838199E-2
1.847473750E0,9.199630469E-2,-1.328195538E-2,-8.883725852E-2
1.857473750E0,9.183922410E-2,5.288347602E-3,-9.909979254E-2
1.867473750E0,7.157595456E-2,0.000000000E0,-5.763076991E-2
1.877473750E0,4.221951589E-2,-4.660028964E-3,8.115780540E-3
1.889473750E0,1.069886796E-2,-1.361356815E-3,3.665191308E-2
1.901472187E0,-5.462880712E-3,-7.993607782E-3,4.724606127E-2
1.911473750E0,-2.448697016E-2,-4.269075394E-2,7.262314856E-2
1.921473750E0,-5.099852011E-2,-3.036872856E-2,8.950048685E-2
1.933473750E0,-5.728170648E-2,1.167625282E-2,1.044579521E-1
1.945472187E0,-5.478588492E-2,1.879719645E-2,1.089259982E-1
1.955472187E0,-5.380849913E-2,9.599311277E-3,1.005309671E-1
1.965473750E0,-8.686503768E-2,-1.282817032E-2,8.873254061E-2
1.977473750E0,-1.043008789E-1,-2.275909297E-2,7.754497975E-2
1.989472187E0,-9.632471949E-2,-2.679080330E-2,6.642723083E-2
1.999472187E0,-7.618362457E-2,-1.322959550E-2,4.591961205E-2
2.009472187E0,-5.145230517E-2,-3.979350906E-3,4.207988828E-2
2.019473750E0,-3.886848316E-2,-3.926991019E-3,2.775073424E-2
2.029473750E0,-2.143264376E-2,9.494591504E-3,3.577925032E-3
2.041473750E0,-3.141592722E-3,1.185078546E-2,-3.024655581E-2
2.051473750E0,1.391027402E-2,4.040437192E-2,-8.791223168E-2
2.061473750E0,1.869247667E-2,1.102699041E-1,-1.454906464E-1
2.071473750E0,1.281071641E-2,1.603259444E-1,-1.528559327E-1
2.083473750E0,-4.551818594E-2,1.667487621E-1,-8.925613761E-2
2.093473750E0,-1.080882400E-1,1.693143845E-1,-3.967133537E-2
2.105473750E0,-1.583188176E-1,1.177922711E-1,-2.574360557E-2
2.115473750E0,-1.744805574E-1,8.555603772E-2,-1.685987972E-2
2.125486250E0,-1.677086800E-1,5.159193277E-2,-9.494591504E-3
2.137473750E0,-1.388933063E-1,1.137954649E-2,-4.274311289E-2
2.147473750E0,-9.208357334E-2,-6.736970972E-3,-9.051277488E-2
2.157473750E0,-4.883431271E-2,-2.017600648E-2,-1.376890242E-1
2.169473750E0,-1.308996975E-2,9.180432186E-3,-1.545314491E-1
2.179473750E0,1.919862255E-2,2.459168993E-2,-1.502204835E-1
2.191473750E0,3.272492439E-2,2.658136375E-2,-1.269203424E-1
2.201473750E0,2.675589733E-2,3.241076320E-2,-9.915215522E-2
2.213472187E0,-8.255407214E-3,4.670501128E-2,-7.234390080E-2
2.223473750E0,-3.234095126E-2,3.214896470E-2,-5.337216705E-2
2.233473750E0,-2.989749052E-2,-2.216568217E-3,-6.578145921E-2
2.245472187E0,-2.096140385E-2,-4.607669078E-3,-9.089674801E-2
2.255473750E0,-2.722713631E-3,1.026253588E-2,-9.578366578E-2
2.265473750E0,5.113814492E-3,1.232202444E-2,-1.008276716E-1
2.277473750E0,-1.502728462E-2,4.080579802E-2,-9.573131055E-2
2.287473750E0,8.552113432E-4,6.663667411E-2,-7.751007378E-2
2.297476875E0,-1.595230959E-2,6.028367206E-2,-5.886995420E-2
2.307515937E0,-5.190609023E-2,5.663593486E-2,-5.813691765E-2
2.319473750E0,-8.627162129E-2,1.656317525E-2,-7.004006207E-2
2.331473750E0,-8.173377067E-2,2.036799304E-2,-8.737118542E-2
2.341473750E0,-6.272713095E-2,1.012290921E-2,-1.181936935E-1
2.351473750E0,-3.775146976E-2,1.965240762E-2,-1.469218135E-1
2.363473750E0,-3.659955412E-2,4.232423380E-2,-1.483878940E-1
2.373473750E0,-4.159119725E-2,5.361651629E-2,-1.487020552E-1
2.385472187E0,-4.248131439E-2,5.384340882E-2,-1.383871585E-1
2.395473750E0,-3.597123548E-2,5.091125518E-2,-1.269727051E-1
2.405473750E0,-3.892084211E-2,1.494001877E-2,-1.303761005E-1
2.417473750E0,-6.740461290E-2,-2.539454028E-2,-1.414414793E-1
2.427473750E0,-9.569640458E-2,-8.536405116E-2,-1.584235430E-1
2.437473750E0,-1.100953668E-1,-9.470156580E-2,-1.794198453E-1
2.449473750E0,-9.114108980E-2,-6.510077976E-3,-1.779188663E-1
2.459473750E0,-7.759733498E-2,2.422516979E-2,-1.602037698E-1
2.471472187E0,-4.319689795E-2,3.888593614E-2,-1.639038622E-1
2.481473750E0,-4.715879634E-2,3.466223925E-2,-1.730493903E-1
2.491473750E0,-5.644394830E-2,1.916371472E-2,-1.789136976E-1
2.503473750E0,-5.525712296E-2,-7.661995478E-3,-1.919513047E-1
2.513473750E0,-8.229227364E-2,-4.642575979E-2,-1.981821358E-1
2.525472187E0,-9.026842564E-2,-3.445279971E-2,-1.932079494E-1
2.535473750E0,-4.132939503E-2,-3.274237737E-2,-1.914626211E-1
2.545473750E0,-2.464404888E-2,-4.728097096E-2,-1.911833584E-1
2.557472187E0,-3.570943698E-2,-2.918190509E-2,-1.847780049E-1
2.567473750E0,1.518436428E-2,6.108652335E-3,-1.781457514E-1
2.577473750E0,8.049458265E-2,-8.744099177E-3,-1.753881425E-1
2.587473750E0,5.208062381E-2,-5.305800959E-2,-1.720894575E-1
2.597473750E0,4.557054490E-2,-5.454153940E-2,-1.828406900E-1
2.609473750E0,7.625343651E-2,-3.361504152E-2,-1.725257933E-1
2.621473750E0,1.025904566E-1,-3.923500329E-2,-1.680053920E-1
2.631473750E0,9.854128957E-2,-4.111995548E-2,-1.730493903E-1
2.643472187E0,6.869615614E-2,-5.860815570E-2,-1.662077010E-1
2.653473750E0,6.049311161E-2,-3.700098023E-2,-1.639562249E-1
2.663473750E0,7.726572454E-2,1.541125681E-2,-1.529432088E-1
2.675473750E0,2.220058814E-2,3.673918173E-2,-1.270425171E-1
2.685473750E0,-1.336922217E-2,3.424336016E-2,-1.357167959E-1
2.695473750E0,-5.653121322E-2,1.977458037E-2,-1.468694508E-1
2.707473750E0,-7.700392604E-2,-7.295476273E-3,-1.544965506E-1
2.717473750E0,-5.644394830E-2,-2.724459022E-2,-1.694889218E-1
2.729472187E0,-4.482005537E-2,-6.623524427E-2,-1.728225052E-1
2.739473750E0,-5.408775434E-2,-1.057669520E-1,-1.528908461E-1
2.751472187E0,-4.214970022E-2,-7.490953058E-2,-1.470439881E-1
2.761473750E0,-1.652826741E-2,-6.002187356E-2,-1.478642970E-1
2.771473750E0,-5.183627829E-3,-7.578219473E-2,-1.496270746E-1
2.781473750E0,6.178465672E-3,-4.649557173E-2,-1.591042131E-1
2.793473750E0,-2.033308521E-2,-6.969099492E-2,-1.647590846E-1
2.803473750E0,-1.216494478E-2,-9.704030305E-2,-1.975189149E-1
2.815472187E0,3.303908184E-2,-8.707447350E-2,-2.246762365E-1
2.825473750E0,5.914920941E-2,-5.021312088E-2,-2.152165473E-1
2.835473750E0,9.231046587E-2,-3.078760765E-2,-1.886177361E-1
2.847473750E0,1.149299294E-1,-7.009242475E-2,-1.758593768E-1
2.857473750E0,8.508480340E-2,-9.051277488E-2,-1.609717160E-1
2.867473750E0,5.934119597E-2,-7.995353639E-2,-1.481260955E-1
2.877473750E0,5.874778330E-2,-2.951351739E-2,-1.524545103E-1
2.889473750E0,6.562437862E-2,1.151917316E-2,-1.761386245E-1
2.901472187E0,5.070181563E-2,1.867502346E-3,-2.090031803E-1
2.911473750E0,3.303908184E-2,5.707226694E-3,-2.293013632E-1
2.923472187E0,1.595230959E-2,1.291543618E-2,-2.455852777E-1
2.933473750E0,4.188789986E-3,7.330382941E-4,-2.354274690E-1
2.943473750E0,1.003564335E-2,-1.256637042E-3,-2.182534188E-1
2.953473750E0,2.712241560E-2,7.731808349E-3,-2.003637999E-1
2.965473750E0,6.932447851E-2,3.019419499E-3,-1.769065708E-1
2.975473750E0,1.081406027E-1,-8.918632753E-3,-1.622108966E-1
2.987472187E0,1.465029418E-1,4.293509759E-3,-1.621934474E-1
2.997473750E0,1.657015532E-1,5.951572675E-3,-1.739918739E-1
3.007473750E0,1.511978656E-1,-2.251474652E-3,-1.805019528E-1
3.019473750E0,1.077566296E-1,-2.574360557E-2,-1.880243123E-1
3.029473750E0,8.107054234E-2,-4.169591516E-2,-1.822647303E-1
3.039473750E0,5.935864896E-2,-1.881464943E-2,-1.624726951E-1
3.051473750E0,2.848377265E-2,-1.216494478E-2,-1.409353316E-1
3.063472187E0,-8.552113548E-3,-1.879719645E-2,-1.239881888E-1
3.073472187E0,-2.331759781E-2,-2.809980186E-3,-1.080707833E-1
3.083476875E0,-4.035201296E-2,1.071632188E-2,-9.243264049E-2
3.095472187E0,-7.175048441E-2,-1.286307629E-2,-8.597491682E-2
3.105473750E0,-9.787806123E-2,-3.368485346E-2,-8.576548100E-2
3.115473750E0,-1.033583954E-1,-4.701916873E-2,-8.124507964E-2
3.125486250E0,-9.473647177E-2,-3.820525855E-2,-6.754424423E-2
3.137473750E0,-7.639306039E-2,-1.586504281E-2,-3.352777660E-2
3.147473750E0,-6.972590089E-2,-4.904375412E-3,-1.193805225E-2
3.157473750E0,-6.993534416E-2,-2.464404888E-2,2.984513063E-3
3.169473750E0,-6.026621908E-2,-4.967207089E-2,1.507964451E-2
3.179473750E0,-4.462806880E-2,-5.506513640E-2,2.087413706E-2
3.191473750E0,-4.761258140E-2,-4.054399952E-2,3.747221828E-2
3.201473750E0,-4.607669264E-2,-3.392919898E-2,5.089380220E-2
3.211473750E0,-5.576327071E-2,-2.434734255E-2,6.286676228E-2
3.223473750E0,-8.332201838E-2,5.480333697E-3,7.525859773E-2
3.233473750E0,-9.056513757E-2,2.597049996E-2,9.274679422E-2
3.245472187E0,-7.934267074E-2,3.663446009E-2,1.069363207E-1
3.255473750E0,-7.600908726E-2,3.316125646E-2,1.087863743E-1
3.265473750E0,-1.113345549E-1,1.134464052E-3,1.087165624E-1
3.277473750E0,-1.305506229E-1,-1.254891697E-2,1.060636565E-1
3.287473750E0,-1.263967454E-1,1.148426626E-2,1.059763953E-1
3.299472187E0,-1.485275179E-1,2.279400080E-2,1.058367640E-1
3.309473750E0,-1.671501845E-1,4.464552179E-2,1.047546640E-1
3.319473750E0,-1.752310544E-1,5.988224596E-2,1.013512686E-1
3.331472187E0,-1.642703861E-1,6.424556673E-2,1.004786044E-1
3.341473750E0,-1.443212777E-1,5.614724010E-2,9.583602846E-2
3.351473750E0,-1.367290914E-1,7.470009383E-3,8.986700326E-2
3.363473750E0,-1.248608530E-1,-3.979350626E-2,7.480481267E-2
3.373473750E0,-8.714429289E-2,-4.626867920E-2,6.424556673E-2
3.385472187E0,-3.714060783E-2,-5.330235511E-2,5.946336687E-2
3.395473750E0,-1.134464052E-2,-4.996877536E-2,6.640977412E-2
3.405473750E0,8.970992640E-3,-3.546509147E-2,6.546729803E-2
3.417472187E0,3.577924892E-2,-2.017600648E-2,6.230825558E-2
3.427473750E0,6.421066076E-2,-8.028514567E-4,6.958627701E-2
3.437473750E0,7.749261707E-2,4.345869645E-3,6.721262634E-2
3.447473750E0,7.251843065E-2,-2.583087189E-3,6.586872786E-2
3.459473750E0,6.138322875E-2,-1.111774705E-2,6.796312332E-2
3.471472187E0,4.865977913E-2,5.811946467E-3,7.632324845E-2
3.481473750E0,3.017674200E-2,3.188716620E-2,8.325220644E-2
