"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.759545051E1,4.063754534E1,1.222371339E2,2.028037370E0,6.595321298E-1,1.617955170E2,1.092850685E1,1.092850685E1
7.855253801E1,4.063754008E1,1.222371346E2,1.968088122E0,5.943499804E-1,1.679830780E2,1.062657166E1,1.062657166E1
7.954969009E1,4.063753488E1,1.222371348E2,2.017540556E0,6.051071882E-1,1.624012451E2,1.071983051E1,1.071983051E1
8.057361249E1,4.063752883E1,1.222371348E2,1.995898208E0,8.303083777E-1,1.753283691E2,1.099935627E1,1.099935627E1
8.155613749E1,4.063752369E1,1.222371313E2,2.050647455E0,4.893362820E-1,1.884191589E2,1.103307533E1,1.103307533E1
8.255604894E1,4.063751986E1,1.222371267E2,1.990204830E0,4.667036235E-1,2.338421478E2,1.174824905E1,1.174824905E1
8.359081301E1,4.063751852E1,1.222371174E2,1.894194411E0,6.394352317E-1,2.458013306E2,1.228063011E1,1.228063011E1
8.456104165E1,4.063751680E1,1.222371080E2,1.918324916E0,6.386284232E-1,3.104372864E2,1.242351723E1,1.242351723E1
8.555889842E1,4.063751541E1,1.222370999E2,1.942917172E0,6.306875348E-1,3.022408447E2,1.305984306E1,1.305984306E1
8.659018957E1,4.063751696E1,1.222370882E2,1.852995691E0,5.996152163E-1,2.939792480E2,1.345488548E1,1.345488548E1
8.756678644E1,4.063751792E1,1.222370769E2,1.683949099E0,6.182097793E-1,2.845213623E2,1.368109131E1,1.368109131E1
8.856298697E1,4.063751852E1,1.222370687E2,1.404225805E0,7.244783640E-1,2.693208008E2,1.390748024E1,1.390748024E1
8.956649686E1,4.063751690E1,1.222370596E2,1.322521654E0,7.278870344E-1,2.632312317E2,1.428811646E1,1.428811646E1
9.056551301E1,4.063751580E1,1.222370507E2,1.439513973E0,6.754958034E-1,2.648036499E2,1.430667496E1,1.430667496E1
9.155620155E1,4.063751414E1,1.222370421E2,1.548559839E0,6.118545532E-1,2.614818115E2,1.460596085E1,1.460596085E1
9.283269113E1,4.063751216E1,1.222370334E2,1.556769410E0,6.838889718E-1,2.493969727E2,1.491497421E1,1.491497421E1
9.356215103E1,4.063750938E1,1.222370240E2,1.500796463E0,7.088017464E-1,2.541690674E2,1.489075089E1,1.489075089E1
9.455813488E1,4.063750622E1,1.222370158E2,1.575739332E0,6.734466553E-1,2.517604523E2,1.489400291E1,1.489400291E1
9.558838488E1,4.063750329E1,1.222370060E2,1.651902485E0,7.966326475E-1,2.603196716E2,1.477434921E1,1.477434921E1
9.656497290E1,4.063750214E1,1.222369980E2,1.535590949E0,5.789179802E-1,2.648835754E2,1.471513367E1,1.471513367E1
9.757076561E1,4.063750202E1,1.222369893E2,1.325889417E0,6.146088839E-1,2.688413086E2,1.478861618E1,1.478861618E1
9.857672811E1,4.063750173E1,1.222369818E2,1.187031603E0,6.319135427E-1,2.666851501E2,1.500685501E1,1.500685501E1
9.956422811E1,4.063750205E1,1.222369738E2,1.154953071E0,6.514625549E-1,2.675620728E2,1.575125694E1,1.575125694E1
1.005654802E2,4.063749873E1,1.222369628E2,1.251462944E0,7.615298629E-1,2.594268799E2,1.608516121E1,1.608516121E1
1.015784844E2,4.063749496E1,1.222369543E2,1.407278849E0,6.960501075E-1,2.499925842E2,1.639761543E1,1.639761543E1
1.025719943E2,4.063749342E1,1.222369465E2,1.311219298E0,6.615184546E-1,2.554322510E2,1.652282143E1,1.652282143E1
1.035623693E2,4.063748977E1,1.222369388E2,1.462586572E0,6.150229573E-1,2.492104797E2,1.703608322E1,1.703608322E1
1.045806427E2,4.063748715E1,1.222369308E2,1.571622136E0,8.321872950E-1,2.478381958E2,1.705067825E1,1.705067825E1
1.055754229E2,4.063748394E1,1.222369253E2,1.654342233E0,6.096137166E-1,2.454854126E2,1.755040932E1,1.755040932E1
1.065644797E2,4.063748166E1,1.222369176E2,1.593280883E0,6.521897912E-1,2.451625366E2,1.764118004E1,1.764118004E1
