"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.144434625E0,1.714873016E-1,6.664270759E-1,4.932793081E-1
1.154390625E0,2.103574723E-1,4.124315977E-1,5.236225724E-1
1.164346625E0,3.073848188E-1,-7.287347317E-2,4.705739915E-1
1.174302625E0,3.209826648E-1,-5.481835604E-1,3.082857430E-1
1.184258625E0,1.501593292E-1,-7.391996384E-1,6.065909937E-2
1.194214625E0,-8.158788085E-2,-6.900150180E-1,-1.780533344E-1
1.204170625E0,-1.869814247E-1,-4.828553498E-1,-2.967822552E-1
1.214126625E0,-1.204545796E-1,-1.436849982E-1,-2.131930739E-1
1.224081625E0,6.508372724E-2,1.722869128E-1,6.522947550E-2
1.234037625E0,2.777155638E-1,3.668127060E-1,4.070411325E-1
1.243993625E0,4.444070458E-1,4.391390383E-1,6.889607906E-1
1.253949625E0,5.481654406E-1,4.283833206E-1,8.631570935E-1
1.263905625E0,6.008340120E-1,3.333282769E-1,9.397407174E-1
1.273861625E0,6.111582518E-1,2.038863897E-1,9.215366840E-1
1.283817625E0,6.207203865E-1,1.058087498E-1,8.353249431E-1
1.293773625E0,6.218961477E-1,2.362199873E-2,7.350593209E-1
1.303729625E0,5.865824223E-1,-3.337909281E-2,6.605230570E-1
1.313685625E0,5.185759664E-1,-2.302791737E-2,6.282420754E-1
1.323641625E0,4.096125066E-1,2.345268428E-2,6.404733062E-1
1.333596625E0,2.875611782E-1,6.696847081E-2,6.648369431E-1
1.343552625E0,1.916501671E-1,1.090562418E-1,6.588463187E-1
1.353508625E0,1.445449740E-1,1.027466804E-1,6.157872677E-1
1.363464625E0,1.485782117E-1,1.993153431E-2,5.373159051E-1
1.373420625E0,1.651752889E-1,-1.230884716E-1,4.441556334E-1
1.383376625E0,1.742086112E-1,-2.587494254E-1,3.550850153E-1
1.393332625E0,1.589050144E-1,-2.964307666E-1,2.730633616E-1
1.403288625E0,1.528565586E-1,-1.886408925E-1,2.201799452E-1
1.413244625E0,1.569000334E-1,-1.057129633E-2,2.345354408E-1
1.423200625E0,1.647243649E-1,1.483940780E-1,3.127012551E-1
1.433155625E0,1.823614240E-1,2.410145551E-1,4.164449573E-1
1.443111625E0,2.294928879E-1,2.660226822E-1,5.286723375E-1
1.453067625E0,2.892597914E-1,2.197007239E-1,6.252574921E-1
1.463023625E0,3.282407522E-1,1.165599599E-1,6.681213379E-1
1.472979625E0,3.480967581E-1,-3.371237777E-3,6.469404101E-1
1.482935625E0,3.322501779E-1,-1.197776943E-1,5.702974200E-1
1.492891625E0,3.224108517E-1,-1.991231143E-1,4.535423219E-1
1.502847625E0,3.113583624E-1,-2.127697766E-1,3.175499439E-1
1.512803625E0,2.976351082E-1,-1.486568451E-1,1.820603162E-1
