"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.875871088E1,5.521003723E1,6.121406555E-1,-1.368201447E1
7.876866713E1,5.538565063E1,3.580245972E-1,-1.352004242E1
7.877862213E1,5.535574341E1,7.136535645E-2,-1.336470795E1
7.878857813E1,5.561278534E1,-5.141830444E-2,-1.321262360E1
7.879853313E1,5.587655640E1,-1.746177673E-1,-1.316340637E1
7.880848912E1,5.608110809E1,-2.959060669E-2,-1.274108124E1
7.881844413E1,5.610564423E1,-1.053009033E-1,-1.263668060E1
7.882840013E1,5.628579712E1,-1.482009888E-1,-1.261001587E1
7.883835513E1,5.633129120E1,-1.808242798E-1,-1.251431274E1
7.884831113E1,5.643698883E1,-3.854408264E-1,-1.266695404E1
7.885826613E1,5.663918304E1,-7.698211670E-1,-1.244437408E1
7.886822212E1,5.674362946E1,-1.012645721E0,-1.221512604E1
7.887817713E1,5.678045654E1,-1.372146606E0,-1.233891296E1
7.888813313E1,5.684400177E1,-1.778636932E0,-1.236337280E1
7.889808813E1,5.686023712E1,-2.063327789E0,-1.253536224E1
7.890804413E1,5.691543579E1,-2.458244324E0,-1.246486664E1
7.891799913E1,5.688877106E1,-2.882423401E0,-1.244580841E1
7.892795512E1,5.686622620E1,-3.305435181E0,-1.252862549E1
7.893791013E1,5.701882935E1,-3.567058563E0,-1.245300293E1
7.894786613E1,5.698168182E1,-3.993831635E0,-1.256060791E1
7.895782113E1,5.697054291E1,-4.182617188E0,-1.244940186E1
7.896777713E1,5.694721985E1,-4.560737610E0,-1.244797516E1
7.897773213E1,5.692667389E1,-4.764827728E0,-1.252085114E1
7.898768812E1,5.687043762E1,-5.005474091E0,-1.251479340E1
7.899764313E1,5.692562103E1,-5.340007782E0,-1.254484558E1
7.900759913E1,5.678274536E1,-5.385398865E0,-1.234588623E1
7.901755413E1,5.675349426E1,-5.548564911E0,-1.231085205E1
7.902751013E1,5.685299683E1,-6.012454987E0,-1.196578217E1
7.903746512E1,5.687143707E1,-6.176475525E0,-1.197676086E1
7.904742112E1,5.681294250E1,-6.311870575E0,-1.185308838E1
7.905737613E1,5.676612091E1,-6.537178040E0,-1.150559235E1
7.906733213E1,5.680158997E1,-6.534660339E0,-1.164516449E1
7.907728713E1,5.659441376E1,-6.621665955E0,-1.163560486E1
7.908724313E1,5.657480621E1,-6.599205017E0,-1.192848969E1
7.909719812E1,5.658244324E1,-6.563472748E0,-1.204058838E1
7.910715412E1,5.641717529E1,-6.554164886E0,-1.201597595E1
7.911710913E1,5.646971130E1,-6.470691681E0,-1.201519775E1
7.912706513E1,5.635775757E1,-6.598022461E0,-1.197856140E1
7.913702013E1,5.617934418E1,-6.621719360E0,-1.191014862E1
7.914697613E1,5.618272400E1,-6.847930908E0,-1.179315948E1
7.915693112E1,5.606175232E1,-7.044471741E0,-1.174765015E1
7.916688713E1,5.598999786E1,-7.341053009E0,-1.175431061E1
7.917684213E1,5.584803772E1,-7.466964722E0,-1.168432617E1
7.918679813E1,5.568819427E1,-7.503433228E0,-1.228489685E1
7.919675313E1,5.549919128E1,-7.357521057E0,-1.254882812E1
7.920670913E1,5.538866425E1,-7.073383331E0,-1.262665558E1
7.921666412E1,5.542581940E1,-6.724395752E0,-1.246656036E1
7.922662013E1,5.529259491E1,-6.472747803E0,-1.214585876E1
7.923657513E1,5.535722351E1,-6.296161652E0,-1.197792053E1
7.924653113E1,5.536125946E1,-6.142002106E0,-1.148929596E1
7.925648613E1,5.550955963E1,-6.063579559E0,-1.150936127E1
7.926644113E1,5.544571686E1,-6.126075745E0,-1.146741486E1
7.927639712E1,5.509299469E1,-6.079174042E0,-1.187168884E1
7.928635212E1,5.495518494E1,-6.282760620E0,-1.196862030E1
7.929630813E1,5.477235413E1,-6.290084839E0,-1.277027130E1
7.930626413E1,5.449916840E1,-6.081710815E0,-1.314226532E1
7.931621913E1,5.436881256E1,-5.783004761E0,-1.331571960E1
7.932617413E1,5.426766205E1,-5.703044891E0,-1.340588379E1
